目的,施策の対象,事業名,分野,事業概要,平成２８年度実績
確保,新規参入,福祉関係団体との連携（東京都福祉人材 対策推進機構）,※,福祉関係団体と連携し、福祉職場の普及啓発やイメ－ジアップなど福祉人材対策を推進,－
確保,新規参入,福祉の仕事イメ－ジアップキャンペ－ン事 業,※,「TOKYO SOCIAL FES」を開催し、幅広い世代に福祉の仕事の魅力を発信,参加者数 1200名
確保,新規参入,フクシを知ろう！なんでもセミナ－,※,中高生に福祉・介護の仕事に対する関心を持たせるために、学校訪問セミナ－を実施,受講者数（延べ）2415名
確保,新規参入,働きやすい福祉・介護職の職場宣言情報 公表事業,※,「働きやすい福祉・介護の職場宣言」を行う事業所の情報を公表し、働きやすい事業所の「見える化」を促進,－
確保,新規参入,専門員による人材の開拓,※,専門員を配置し、大学や関係機関等へ働きかけ、福祉職場の魅力ややりがいを発信,大学訪問数　51校75件　他
確保,新規参入,職場体験事業,,介護業務の経験を希望する者を対象として、職場体験の機会を提供,867名
確保,新規参入,フクシを知ろう！おしごと体験,※,中高生の希望者に福祉施設での職場体験の機会を提供,体験者数 32名
確保,新規参入,小学校向け地域における体験イベント,※,小学生に福祉職場の現状を体験する機会を提供,－
確保,新規参入,助成金付きインタ－ンシップ事業,※,一般大学の学生に対して、インタ－ンシップの機会を提供し、参加学生に助成金を給付,参加者数　241名／（介護104名、保育92名、障害45名）
確保,新規参入,福祉人材センタ－（無料職業紹介）の運 営,※,東京都福祉人材センタ－において、福祉・介護の仕事に関する無料の求人求職紹介を実施／※飯田橋、立川（多摩支所）の２か所,求職者数　3970名 就職者数　2546名
確保,新規参入,マッチング強化事業,※,相談員がハロ－ワ－ク等に出向き、求職者の相談に応じ就職を支援,相談者数　766名
確保,新規参入,福祉の仕事就職フォ－ラム,※,都内の福祉施設による大規模な合同就職説明会を開催（７月：東京国際フォ－ラム、１０月：立川）,参加者数　581名
確保,新規参入,福祉人材確保ネットワ－ク事業,※,都内の福祉施設がネットワ－クを組んで、合同採用試験、合同研修、法人間人事交流を実施,受験者数　144名 内定者数　　44名
確保,新規参入,地域密着面接会,※,区市町村社協や行政、ハロ－ワ－ク等と共催し、地域内の事業所による相談面接会を実施,21地区で27回開催
確保,新規参入,介護福祉士等修学資金貸付事業,,社会福祉士養成施設等に在学する者に対して修学資金を貸し付け、所定の期間、介護業務等に従事した場合に返還を 免除,貸付決定件数 　　　248件 貸付決定金額 304百万円
確保,新規参入,介護職員初任者研修資格取得支援,,職場体験を利用した学生等を対象に、無料の介護職員初任者研修を開講し、資格取得を支援,595名
確保,新規参入,福祉職場への就労支援のためのシステ ム,※,福祉人材に関係する事業者や関係団体等が地域で実施する研修・イベント等の情報を管理し、効果的な情報発信を行 うシステム（Webサイト）を構築・運営,－
確保,新規参入,トライアル雇用,,離職者等を介護施設等で雇用しながら、介護職員初任者研修を受講させ、介護人材の雇用確保と資格取得支援を併せ て実施,228名
確保,新規参入,福祉職場入門研修,,福祉職場で働く際に必要となる基本的な知識や技術を身につける入門的な研修を実施,修了者数　149名
確保,新規参入,福祉職場サポ－ト業務研修,,福祉施設での清掃、配膳、話し相手など補助的な業務を学ぶ研修を実施,修了者数　 24名
確保,新規参入,元気高齢者地域活躍推進事業,,高齢者のボランティア活動や就労を促進する区市町村の取組を支援,事業数 15　（12区市町村）
確保,新規参入,潜在的介護職員活用推進事業,,紹介予定派遣を活用し、潜在的有資格者の就業を促進,3名
確保,再就業,再就職支援研修,,就業していない有資格者に対し、再就職に向けての不安感を払拭するため、最新の介護技術等の知識を付与する研修 を実施,受講者数　　　80名
確保,再就業,キャリアカウンセリング,,有資格者を対象に、民間就職支援アドバイザ－が求職活動への助言・指導や就職活動支援セミナ－を実施,利用者数　　896名
確保,再就業,離職介護人材再就職準備金貸付,,一定の知識・経験を有する離職した介護人材が、介護職員として再就職した場合に必要な資金を貸し付け,申込1件（届出2件）／※平成28年10月31日募集開始
育成,職員向け支援,介護職員スキルアップ研修,,業務上必要な医学的知識や緊急時の対応などについて研修を実施,受講決定者　363名
育成,経営者向け支援,介護職員等によるたんの吸引等研修事 業,,たんの吸引等の医療的ケアを行うことができる介護職員等を養成する研修を実施,3306名
育成,経営者向け支援,事業所に対する育成支援事業,※,小・中規模の事業所に介護福祉士養成校等の講師を派遣して、出前研修を実施するとともに、職場研修アドバイザ－ が、相談・助言を実施,講師派遣　　360件 相談件数　　　37件
育成,経営者向け支援,代替職員の確保による現任介護職員等 の研修支援事業,,現任介護職員が研修に参加する際、人材派遣事業者から代替職員を派遣,50名
育成,経営者向け支援,現任介護職員資格取得支援事業,,介護保険施設等を運営する法人が、所属介護職員の介護福祉士国家資格取得を支援する場合、支援経費の一部を助 成,合格者　507名
定着,職員向け支援,東京都介護職員キャリアパス導入促進事 業,,「介護キャリア段位制度」を活用し、職責に応じた処遇を実現するキャリアパスの導入に取り組む事業者を支援,事業所数　131
定着,職員向け支援,東京都介護職員宿舎借り上げ支援事業,,施設周辺で職員宿舎を借り上げ、災害対応要員を配置した事業者を支援,戸数　125
定着,職員向け支援,人材定着・離職防止相談支援事業,※,福祉の仕事の悩みや、心の悩みを相談できる窓口を開設,仕事相談　　699件 健康相談　1077件
定着,職員向け支援,福祉・介護就労環境改善事業,※,介護ロボットの導入やICTの活用により職員の負担を軽減する事業所の取組に対して補助を行う区市町村を支援,－
定着,経営者向け支援,コ－ディネ－タ－による事業者支援,※,事業者支援コ－ディネ－タ－による事業者訪問等により事業者の取組を支援,事業所数　60／（介護24、保育13、障害27）
定着,経営者向け支援,福祉職場における多様な働き方のモデル の普及,※,「多様な人材が希望する働き方で就業できる職場環境を整備・実践している福祉事業者の分析・検証」の成果をセミナ－ 等により周知・普及,モデル事業所数　 7／（介護2、保育4、障害2）
定着,経営者向け支援,アセッサ－講習受講支援,,アセッサ－講習受講を受講するための経費を支援,－
定着,経営者向け支援,キャリアパス導入準備のための相談支援,,外部専門家による個別相談を実施,－
