項目１,項目２,項目３,平成28年度末実績,備考
認知症疾患医療センター指定数（か所）,,,47,地域拠点型 12か所、地域連携型 35ヵ所
認知症支援コーディネーター配置区市町村数（か所）,,,31,東京都補助金を活用しているのは25か所
若年性認知症総合支援センター数（か所）,,,2,多摩地区のセンターは平成28年11月運営開始
研修修了者数（累計）,認知症サポート医養成研修（人）,,953,
研修修了者数（累計）,かかりつけ医認知症研修（人）,,3816,平成27年度事業開始／修了者には平成18～21年度に養成した2556人を含む
研修修了者数（累計）,歯科医師認知症対応力向上研修（人）,,115,平成28年度事業開始
研修修了者数（累計）,薬剤師認知症対応力向上研修（人）,,905,平成28年度事業開始
研修修了者数（累計）,看護師認知症対応力向上研修１（人）,,4073,
研修修了者数（累計）,看護師認知症対応力向上研修２（人）,,507,平成28年度事業開始
研修修了者数（累計）,看護師認知症対応力向上研修３（人）,,113,平成28年度事業開始
研修修了者数（累計）,認知症介護研修（人）,認知症介護実践者研修,10913,このほか、「認知症対応型サービス事業管理者研修」「認知症対応型サービス事業開設者研修」「小規模多機能型サービス等計画作成担当者研修」を実施
研修修了者数（累計）,認知症介護研修（人）,認知症介護実践リーダー研修,1551,このほか、「認知症対応型サービス事業管理者研修」「認知症対応型サービス事業開設者研修」「小規模多機能型サービス等計画作成担当者研修」を実施
研修修了者数（累計）,認知症介護研修（人）,認知症介護指導者養成研修,78,このほか、「認知症対応型サービス事業管理者研修」「認知症対応型サービス事業開設者研修」「小規模多機能型サービス等計画作成担当者研修」を実施
研修修了者数（累計）,認知症初期集中支援チーム員研修［４３区市町村］,,503,
研修修了者数（累計）,認知症地域支援推進員研修［５０区市町村］,,433,
