区分１,区分２,東京都（従来型）黒字施設n=124,東京都（従来型）赤字施設n=67,東京都（従来型）差黒字-赤字,全国（従来型）黒字施設n=1095,全国（従来型）赤字施設n=673,全国（従来型）差黒字-赤字
機能性,入所定員数（人）,89.5,86.4,3.1,73.8,66.6,7.2
機能性,入所利用率（％）,94.7,93.1,1.6,95.9,95.0,0.9
機能性,平均要介護度,3.91,3.9,0.01,3.93,3.9,0.03
機能性,入所者1人1日当たりサービス活動収益（円）,13065,12728,337,11494,11408,86
従事者の状況,入所者10人当たり従事者数（人）,6.3,6.4,-0.1,6.1,6.6,-0.5
従事者の状況,うち介護職員（人）,4.2,4.3,-0.1,4.0,4.2,-0.2
従事者の状況,うち看護職員（人）,0.6,0.6,0.0,0.6,0.6,0.0
従事者の状況,従事者1人当たり人件費（千円）,4148,4270,-123,3668,3845,-177
収支の状況,サービス活動増減差額比率（％）,5.3,-5.3,10.6,6.6,-5.9,12.5
収支の状況,人件費率（％）,64.7,70.4,-5.7,62.0,71.0,-8.9
収支の状況,経費率（％）,27.5,31.6,-4.1,27.5,30.2,-2.7
収支の状況,減価償却費率（％）,2.4,3.2,-0.8,3.6,4.5,-0.9
