区分１,区分２,従来型東京都n=191,従来型全国n=1768,従来型差東京都-全国,ユニット型東京都n=56,ユニット型全国n=1936,ユニット型差東京都-全国
機能性,入所定員数（人）,88.4,71.0,17.4,85.5,59.9,25.6
機能性,入所利用率（％）,94.2,95.6,-1.4,95.3,95.0,0.3
機能性,平均要介護度,3.91,3.92,-0.01,3.87,3.76,0.11
機能性,入所者1人1日当たりサービス活動収益（円）,12951,11463,1488,14470,13459,1011
従事者の状況,入所者10人当たり従事者数（人）,6.4,6.3,0.1,7.3,7.6,-0.3
従事者の状況,うち介護職員（人）,4.2,4.1,0.1,5.2,5.4,-0.2
従事者の状況,うち看護職員（人）,0.6,0.6,0.0,0.6,0.6,-0.0
従事者の状況,従事者1人当たり人件費（千円）,4190,3734,456,4326,3496,830
収支の状況,サービス活動増減差額比率（％）,1.8,2.2,-0.4,4.3,5.7,-1.3
収支の状況,人件費率（％）,66.6,65.2,1.4,65.1,61.5,3.6
収支の状況,経費率（％）,28.9,28.5,0.4,24.8,25,-0.1
収支の状況,減価償却費率（％）,2.6,4.0,-1.4,5.6,7.5,-1.9
収支の状況,赤字割合（％）,35.1,38.1,-3.0,25.0,31.9,-6.9
