区分１,区分２,区分３,東京都黒字施設n=39,東京都赤字施設n=22,東京都差黒字-赤字,全国黒字施設n=881,全国赤字施設n=401,全国差黒字-赤字
機能性,入居定員数（人）,,15.4,13.4,2.1,15.3,13.6,1.7
機能性,入居利用率（％）,,95.3,93.3,1.9,96.1,93.9,2.2
機能性,平均要介護度,,2.24,2.44,-0.2,2.71,2.66,0.05
機能性,入居者1人1日当たりサービス活動収益（円）,,14579,15527,-948,12702,12356,346
従事者の状況,入居者10人当たり従事者数（人）,,9,9.6,-0.6,8.8,9.6,-0.8
従事者の状況,入居者10人当たり従事者数（人）,うち介護職員（人）,7.5,7.9,-0.4,7.5,8,-0.5
従事者の状況,従事者1人当たり人件費（千円）,,3849,4664,-815,3406,3724,-318
収支の状況,サービス活動増減差額比率（％）,,8.9,-11.4,20.3,10.4,-7.7,18.1
収支の状況,人件費率（％）,,65.3,78.4,-13.1,64.8,79,-14.2
収支の状況,経費率（％）,,22.6,27.3,-4.7,19.8,22.1,-2.3
収支の状況,減価償却費率（％）,,2.9,5.3,-2.5,4.8,6.4,-1.6
