区分１,区分２,東京都（ユニット型）黒字施設n=42,東京都（ユニット型）赤字施設n=14,東京都（ユニット型）差黒字-赤字,全国（ユニット型）黒字施設n=1319,全国（ユニット型）赤字施設n=617,全国（ユニット型）差黒字-赤字
機能性,入所定員数（人）,91.0,68.9,22.2,64.2,50.7,13.5
機能性,入所利用率（％）,95.4,94.8,0.5,95.8,92.7,3.1
機能性,平均要介護度,3.91,3.73,0.19,3.77,3.74,0.03
機能性,入所者1人1日当たりサービス活動収益（円）,14596,13967,629,13532,13254,279
従事者の状況,入所者10人当たり従事者数（人）,7.2,7.8,-0.7,7.4,8.2,-0.8
従事者の状況,うち介護職員（人）,5.1,5.5,-0.4,5.3,5.7,-0.5
従事者の状況,うち看護職員（人）,0.6,0.6,0.0,0.6,0.6,-0.1
従事者の状況,従事者1人当たり人件費（千円）,4326,4324,2,3479,3538,-59
収支の状況,サービス活動増減差額比率（％）,6.9,-6.3,13.2,9.7,-6.0,15.8
収支の状況,人件費率（％）,63.3,73.0,-9.7,58.9,69.0,-10.0
収支の状況,経費率（％）,24.2,27.5,-3.3,24.1,27.4,-3.3
収支の状況,減価償却費率（％）,5.6,5.7,-0.1,6.9,9.2,-2.3
