区分１,区分２,区分３,総数n=79,25人以下n=7,26～50人n=28,51～75人n=22,76～100人n=12,101人以上n=10
機能性,入居定員数（人）,,65.2,13.6,36.9,61,89.1,161.5
機能性,入居利用率（％）,,77.3,76.6,85.8,81.9,73,71
機能性,入居者1人1日当たりサービス活動収益（円）,,17646,8147,18314,18175,18171,16868
従事者の状況,入居者10人当たり従事者数（人）,,7.2,7.1,7.5,7.7,7.3,6.6
従事者の状況,入居者10人当たり従事者数（人）,うち生活相談員（人）,0.3,0.5,0.4,0.2,0.2,0.2
従事者の状況,入居者10人当たり従事者数（人）,うち支援員（人）,4.4,5,4.8,4.8,4.5,3.4
従事者の状況,従事者1人当たり人件費（千円）,,3995,2604,4060,4091,4109,3841
収支の状況,サービス活動増減差額比率（％）,,7.6,-8.5,8.6,8,9.8,5.2
収支の状況,人件費率（％）,,44.7,61.6,45.4,47.2,45,40.9
収支の状況,経費率（％）,,36.4,33.4,30.1,33.3,34.3,46.6
収支の状況,減価償却費率（％）,,2.5,1,1,2.1,3.9,3.2
収支の状況,赤字割合（％）,,25.3,57.1,21.4,22.7,25,20
