"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","全体",,"658","388","186","37","29","8","10"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性（計）","248","141","64","20","13","7","3"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 18～29歳","23","9","4","4","4","2","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 30～39歳","35","14","13","4","4","0","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 40～49歳","41","22","14","4","0","1","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 50～59歳","49","31","13","2","1","1","1"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 60～69歳","39","30","4","3","1","1","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 70歳以上","60","34","16","3","3","2","2"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0","0","0","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性（計）","400","239","121","17","16","1","6"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 18～29歳","28","16","9","1","1","1","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 30～39歳","65","29","26","8","2","0","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 40～49歳","95","64","24","4","2","0","1"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 50～59歳","82","47","26","2","6","0","1"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 60～69歳","55","37","14","2","1","0","1"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 70歳以上","75","46","22","0","4","0","3"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","性・年代別","無回答","10","8","1","0","0","0","1"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","職業別","自営業主・家族従業","92","59","27","1","4","0","1"
"202003","プラスチックごみ","Q20. あなたは、ペットボトル以外のプラスチック製品を捨てる際に、どのような分別をしていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","154","80","26","17","0","3"
