区市町村名,災害対策担当課,電話（代表）
千代田区,区民生活部総合災害対策室防災課,03-3264-2111
中央区,区民部防災課,03-3543-0211
港区,防災・生活安全支援部防災課,03-3578-2111
新宿区,区長室危機管理課,03-3209-1111
文京区,総務部防災安全課,03-3812-7111
台東区,総務部危機・災害対策課,03-5246-1111
墨田区,地域振興部危機管理担当防災課,03-5608-1111
江東区,総務部防災課,03-3647-9111
品川区,区民生活事業部防災課,03-3777-1111
目黒区,総務部防災課,03-3715-1111
大田区,区民生活部防災課,03-5744-1111
世田谷区,危機管理室危機災害対策課,03-5432-1111
渋谷区,危機管理対策部防災課,03-3463-1211
中野区,総務部防災分野,03-3389-1111
杉並区,危機管理室防災課,03-3312-2111
豊島区,総務部防災課,03-3981-1111
北区,総務部危機管理室長付防災課,03-3908-1111
荒川区,区民生活部防災課,03-3802-3111
板橋区,危機管理室防災課,03-3964-1111
練馬区,危機管理室防災課,03-3993-1111
足立区,総務部災害対策課,03-3880-5111
葛飾区,地域振興部防災課,03-3695-1111
江戸川区,環境防災部防災課,03-3652-1151
八王子市,生活安全部防災課,042-626-3111
立川市,市民生活部防災課,042-523-2111
武蔵野市,防災安全部防災課,0422-51-5131
三鷹市,総務部防災課,0422-45-1151
青梅市,総務部防災安全課,0428-22-1111
府中市,環境安全部防災課,042-364-4111
昭島市,総務部防災課,042-544-5111
調布市,総務部防災安全課,042-481-7111
町田市,総務部防災課,042-722-3111
小金井市,総務部防災交通課,042-383-1111
小平市,市民生活部防災安全課,042-341-1211
日野市,総務部防災課,042-585-1111
東村山市,市民部防災安全課,042-393-5111
国分寺市,総務部くらしの安全課,042-325-0111
国立市,総務部地域防災課,042-576-2111
福生市,総務部総務課,042-551-1511
狛江市,総務部総務防災,03-3430-1111
東大和市,総務部総務課,042-563-2111
清瀬市,総務部防災安全課,042-492-5111
東久留米市,総務部総務課,042-470-7777
武蔵村山市,総務部防災安全課,042-565-1111
多摩市,総務部防災課,042-375-8111
稲城市,消防本部警防課,042-378-2111
羽村市,総務部市民生活安全課,042-555-1111
あきる野市,総務部地域振興課,042-558-1111
西東京市,環境防災部防災課,042-464-1311
瑞穂町,地域振興課,042-557-0501
日の出町,地域振興課,042-597-0511
檜原村,総務課,042-598-1011
奥多摩町,総務課,0428-83-2111
大島町,総務課,04992-2-1441
利島村,総務課,04992-9-0011
新島村,総務課,04992-5-0240
神津島村,総務課,04992-8-0011
三宅村,復興政策室,04994-6-1111
御蔵島村,総務課,04994-8-2121
八丈町,総務課,04996-2-1121
青ヶ島村,総務課,04996-9-0111
小笠原村,総務課,04998-2-3113
