"年月[西暦]","調査項目","設問","処遇","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ａ）職員（事務職員等を含む）の増員（派遣を含む）による業務負担の軽減","従来より実施しており、今回更に充実した（今後充実する予定を含む）","14","10.6","11.6"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ａ）職員（事務職員等を含む）の増員（派遣を含む）による業務負担の軽減","従来、実施していなかったが、今回新たに実施した（今後実施する予定も含む）","8","6.1","6.6"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ａ）職員（事務職員等を含む）の増員（派遣を含む）による業務負担の軽減","従来より実施しており、今回内容等を変更していない（今後実施する予定を含む）","61","46.2","50.4"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ａ）職員（事務職員等を含む）の増員（派遣を含む）による業務負担の軽減","従来及び今回、実施していなかったが、今後実施する予定","11","8.3","9.1"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ａ）職員（事務職員等を含む）の増員（派遣を含む）による業務負担の軽減","従来及び今回、実施しておらず、今後も実施する予定なし","27","20.5","22.3"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ａ）職員（事務職員等を含む）の増員（派遣を含む）による業務負担の軽減","無回答","11","8.3",
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｂ）夜勤の見直しや有給休暇の取得促進等の労働条件の改善","従来より実施しており、今回更に充実した（今後充実する予定を含む）","26","19.7","21.7"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｂ）夜勤の見直しや有給休暇の取得促進等の労働条件の改善","従来、実施していなかったが、今回新たに実施した（今後実施する予定も含む）","9","6.8","7.5"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｂ）夜勤の見直しや有給休暇の取得促進等の労働条件の改善","従来より実施しており、今回内容等を変更していない（今後実施する予定を含む）","58","43.9","48.3"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｂ）夜勤の見直しや有給休暇の取得促進等の労働条件の改善","従来及び今回、実施していなかったが、今後実施する予定","4","3.0","3.3"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｂ）夜勤の見直しや有給休暇の取得促進等の労働条件の改善","従来及び今回、実施しておらず、今後も実施する予定なし","23","17.4","19.2"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｂ）夜勤の見直しや有給休暇の取得促進等の労働条件の改善","無回答","12","9.1",
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｃ）能力や仕事ぶりの評価と配置・処遇への反映","従来より実施しており、今回更に充実した（今後充実する予定を含む）","26","19.7","21.5"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｃ）能力や仕事ぶりの評価と配置・処遇への反映","従来、実施していなかったが、今回新たに実施した（今後実施する予定も含む）","2","1.5","1.7"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｃ）能力や仕事ぶりの評価と配置・処遇への反映","従来より実施しており、今回内容等を変更していない（今後実施する予定を含む）","69","52.3","57.0"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｃ）能力や仕事ぶりの評価と配置・処遇への反映","従来及び今回、実施していなかったが、今後実施する予定","5","3.8","4.1"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｃ）能力や仕事ぶりの評価と配置・処遇への反映","従来及び今回、実施しておらず、今後も実施する予定なし","19","14.4","15.7"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｃ）能力や仕事ぶりの評価と配置・処遇への反映","無回答","11","8.3",
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｄ）昇給または昇進・昇格要件の明確化","従来より実施しており、今回更に充実した（今後充実する予定を含む）","21","15.9","17.5"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｄ）昇給または昇進・昇格要件の明確化","従来、実施していなかったが、今回新たに実施した（今後実施する予定も含む）","1","0.8","0.8"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｄ）昇給または昇進・昇格要件の明確化","従来より実施しており、今回内容等を変更していない（今後実施する予定を含む）","65","49.2","54.2"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｄ）昇給または昇進・昇格要件の明確化","従来及び今回、実施していなかったが、今後実施する予定","11","8.3","9.2"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｄ）昇給または昇進・昇格要件の明確化","従来及び今回、実施しておらず、今後も実施する予定なし","22","16.7","18.3"
"202003","組織・体制・人材について","Q7. 貴事業所の職員に対する給与等の引き上げ以外の処遇に関して、平成31年４月から令和元年９月までの対応の実施状況について、お答えください。","（Ｄ）昇給または昇進・昇格要件の明確化","無回答","12","9.1",
