市区町村コード,NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,API対応有無,ライセンス,登録日,最終更新日,備考
132217,0000000001,東京都,清瀬市,公共施設一覧,施設名称、区分、営業時間等の一覧,"csv,xlsx",生活,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2018-06-29,
132217,0000000002,東京都,清瀬市,子育て施設一覧(保育園),施設名称、区分、開園時間等,"csv,xlsx",生活,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2023-03-14,
132217,0000000003,東京都,清瀬市,子育て施設一覧(学童クラブ),施設名称、区分、開園時間等,"csv,xlsx",生活,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2022-11-02,
132217,0000000004,東京都,清瀬市,観光施設一覧,観光地名称、住所、区分、観光可能時間等,"csv,xlsx",観光,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2021-10-13,
132217,0000000005,東京都,清瀬市,公衆トイレ一覧,設置場所の住所、個数、設備等,"csv,xlsx",生活,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2018-06-29,
132217,0000000006,東京都,清瀬市,介護サービス施設一覧,施設名称、住所、営業時間、サービス内容等,"csv,xlsx",医療・福祉,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2022-08-05,
132217,0000000007,東京都,清瀬市,医療機関一覧,施設名、住所、営業時間、診療科目等,"csv,xlsx",医療・福祉,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2023-03-16,
132217,0000000008,東京都,清瀬市,停留所等一覧,停留所名、時刻、ルート等,"csv,xls",交通情報,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2018-06-29,2022-11-02,
132217,0000000009,東京都,清瀬市,公園一覧,都市公園・児童遊園・広場等の名称、住所、バリアフリー情報等,"csv,xlsx",環境,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2020-01-24,2022-11-02,
132217,0000000010,東京都,清瀬市,公共施設予約端末設置場所一覧,設置場所の住所、電話番号等,"csv,xlsx",生活,変更の都度,https://www.city.kiyose.lg.jp/opendata/opendataichiran/1001604.html,無,CC BYに準拠,2020-01-24,2020-01-24,
