措置区分,財援（平成28年）,財援（平成29年）,行政(システム)（平成29年）,財援（平成30年）,行政(指定管理)（平成30年）,行政(システム)（平成30年）,定例（令和元年）,行政(システム)（令和元年）,財援（令和元年）,令和元年度各会計歳入歳出決算審査,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,,,17,,17
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,,1,,19,,20
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,,,,3,3
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,,,,,3,3
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,,,,,,,,16,17
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,,,,,,,,,19,20
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,1,,,,1,5,1,1,,9
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,1,,,,2,6,1,1,,11
小計※措置区分のうち主なものを１つ選定した場合の数値,1,1,,,,1,5,1,18,19,46
小計※措置区分のうち主なものを全て選定した場合の数値,1,1,,,,2,7,1,20,22,54
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,,,2,,3
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,,,1,,,,3,,4
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,,,1,,2
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,,,1,,,,2,,3
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,1,1,,1,1,,3,3,10
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,,1,1,1,1,2,3,,7,18,34
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,,,,,1
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,1,,,1,2,,2,,19,10,35
小計※措置区分のうち主なものを１つ選定した場合の数値,,,1,1,3,1,1,,6,3,16
小計※措置区分のうち主なものを全て選定した場合の数値,1,1,1,2,5,2,5,,31,28,76
合計※措置区分のうち主なものを１つ選定した場合の数値,1,1,1,1,3,2,6,1,24,22,62
合計※措置区分のうち主なものを全て選定した場合の数値,2,2,1,2,5,4,12,1,51,50,130
