"年度[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"2022","港区の伝わる日本語について","問21. 区が発信する情報は受け手に正しく伝わっていると思いますか。（○は1つ）","思う","100","18.5"
"2022","港区の伝わる日本語について","問21. 区が発信する情報は受け手に正しく伝わっていると思いますか。（○は1つ）","やや思う","213","39.4"
"2022","港区の伝わる日本語について","問21. 区が発信する情報は受け手に正しく伝わっていると思いますか。（○は1つ）","あまり思わない","115","21.3"
"2022","港区の伝わる日本語について","問21. 区が発信する情報は受け手に正しく伝わっていると思いますか。（○は1つ）","思わない","28","5.2"
"2022","港区の伝わる日本語について","問21. 区が発信する情報は受け手に正しく伝わっていると思いますか。（○は1つ）","どちらともいえない","78","14.4"
"2022","港区の伝わる日本語について","問21. 区が発信する情報は受け手に正しく伝わっていると思いますか。（○は1つ）","無回答","7","1.3"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","区からの通知文やお知らせ","328","60.6"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","区が作成したチラシやポスター","234","43.3"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","区が発行する広報誌等","412","76.2"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","区が発行する報告書等","102","18.9"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","区のホームページ","182","33.6"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","読むことはない","21","3.9"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","その他","16","3.0"
"2022","港区の伝わる日本語について","問22. 区が送付する文書などの区の情報伝達手段としてあなたが読むものを教えてください。（○はいくつでも）","無回答","2","0.4"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","特殊な言葉や堅苦しい言葉が多い","38","7.3"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","古い表現の言葉遣いが多い","10","1.9"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","上から目線の言葉遣いが多い","15","2.9"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","難しい漢字を使っている言葉が多い","6","1.2"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","仮名書きが多く、意味が取りにくい","10","1.9"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","情報量が多すぎて、意味が取りにくい","97","18.7"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","意味の取りにくい省略語が多い","22","4.2"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","意味のよく分からない外来語や片仮名語が多い","32","6.2"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","文字が小さくて読みにくい","44","8.5"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","さっと読んでも全体の意味が理解できない","60","11.6"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","特に困ったことはない","251","48.5"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","その他","28","5.4"
"2022","港区の伝わる日本語について","問23. （問22で「６. 読むことはない」以外を選択された方）区が送付する文書などを読んでいて、困ったことを教えてください。（○はいくつでも）","無回答","90","17.4"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","記載情報に興味がない","7","33.3"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","文章がわかりにくい","0","0.0"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","知りたい情報が載っていない","5","23.8"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","情報が多すぎる","0","0.0"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","レイアウトがよくない","0","0.0"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","文字が小さい","0","0.0"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","ページの色が見にくい","0","0.0"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","その他","8","38.1"
"2022","港区の伝わる日本語について","問24. （問22で「６. 読むことはない」を選択された方）区が送付する文書などを読まない理由を教えてください。（○はいくつでも）","無回答","1","4.8"
"2022","港区の伝わる日本語について","問25. 区が送付する文書などの内容について、あなたが最も重視する点を教えてください。（○は１つ）","なるべく多くの情報を記載してほしい","132","24.4"
"2022","港区の伝わる日本語について","問25. 区が送付する文書などの内容について、あなたが最も重視する点を教えてください。（○は１つ）","情報は必要最小限としてほしい","71","13.1"
"2022","港区の伝わる日本語について","問25. 区が送付する文書などの内容について、あなたが最も重視する点を教えてください。（○は１つ）","なるべく簡単な表現としてほしい","139","25.7"
"2022","港区の伝わる日本語について","問25. 区が送付する文書などの内容について、あなたが最も重視する点を教えてください。（○は１つ）","文字の配置や図示するなど、レイアウトにこだわってほしい","113","20.9"
"2022","港区の伝わる日本語について","問25. 区が送付する文書などの内容について、あなたが最も重視する点を教えてください。（○は１つ）","その他","35","6.5"
"2022","港区の伝わる日本語について","問25. 区が送付する文書などの内容について、あなたが最も重視する点を教えてください。（○は１つ）","無回答","51","9.4"
