職員の区分,職務の級号給,１級給料月額（円）,２級給料月額（円）,３級給料月額（円）,４級給料月額（円）,５級給料月額（円）,６級給料月額（円）,７級給料月額（円）,８級給料月額（円）
定年前再任用短時間勤務職員以外の職員,1,181600,208900,215400,235800,257200,292600,318500,510600
定年前再任用短時間勤務職員以外の職員,2,182900,211100,217100,237500,259100,294800,320800,519500
定年前再任用短時間勤務職員以外の職員,3,184200,213300,218800,239200,260900,296900,323100,528400
定年前再任用短時間勤務職員以外の職員,4,185500,215400,220500,241000,262800,299000,325600,
定年前再任用短時間勤務職員以外の職員,5,186900,217500,222200,242800,264800,301200,328100,
定年前再任用短時間勤務職員以外の職員,6,188500,219300,223900,244600,266700,303400,330400,
定年前再任用短時間勤務職員以外の職員,7,190100,221100,225600,246400,268700,305500,332800,
定年前再任用短時間勤務職員以外の職員,8,191700,222900,227300,248200,270700,307600,335200,
定年前再任用短時間勤務職員以外の職員,9,193400,224600,229000,250000,272700,309800,337700,
定年前再任用短時間勤務職員以外の職員,10,195000,226200,230700,251800,274600,312000,340100,
定年前再任用短時間勤務職員以外の職員,11,196600,227800,232400,253600,276600,314100,342500,
定年前再任用短時間勤務職員以外の職員,12,198200,229400,234100,255400,278600,316200,345100,
定年前再任用短時間勤務職員以外の職員,13,199900,230900,235800,257300,280600,318400,347600,
定年前再任用短時間勤務職員以外の職員,14,201900,232500,237500,259100,282600,320600,350000,
定年前再任用短時間勤務職員以外の職員,15,204000,234100,239200,261000,284700,322800,352600,
定年前再任用短時間勤務職員以外の職員,16,206200,235700,240900,262900,286700,325100,355200,
定年前再任用短時間勤務職員以外の職員,17,208400,237200,242600,264800,288700,327400,357800,
定年前再任用短時間勤務職員以外の職員,18,210600,238700,244300,266600,290700,329700,360300,
定年前再任用短時間勤務職員以外の職員,19,212700,240300,246000,268500,292700,332000,363000,
定年前再任用短時間勤務職員以外の職員,20,214800,241900,247700,270400,294800,334400,365700,
定年前再任用短時間勤務職員以外の職員,21,216900,243400,249400,272300,297000,336800,368400,
定年前再任用短時間勤務職員以外の職員,22,218900,245000,251100,274200,299100,339200,371100,
定年前再任用短時間勤務職員以外の職員,23,220900,246600,252800,276100,301100,341600,373800,
定年前再任用短時間勤務職員以外の職員,24,222800,248100,254500,278000,303200,344000,376500,
定年前再任用短時間勤務職員以外の職員,25,224600,249600,256200,279900,305400,346300,379300,
定年前再任用短時間勤務職員以外の職員,26,226000,251200,257900,281800,307600,348600,382100,
定年前再任用短時間勤務職員以外の職員,27,227400,252800,259600,283700,309600,351000,385000,
定年前再任用短時間勤務職員以外の職員,28,228800,254300,261300,285600,311700,353400,388000,
定年前再任用短時間勤務職員以外の職員,29,230200,255800,263000,287500,313800,355800,391000,
定年前再任用短時間勤務職員以外の職員,30,231600,257400,264700,289400,315900,358100,393600,
定年前再任用短時間勤務職員以外の職員,31,233000,259000,266400,291400,318000,360400,396200,
定年前再任用短時間勤務職員以外の職員,32,234400,260500,268100,293500,320200,362800,398800,
定年前再任用短時間勤務職員以外の職員,33,235700,262000,269900,295600,322400,365300,401300,
定年前再任用短時間勤務職員以外の職員,34,237000,263600,271600,297600,324500,367700,403900,
定年前再任用短時間勤務職員以外の職員,35,238300,265200,273500,299600,326600,370100,406400,
定年前再任用短時間勤務職員以外の職員,36,239700,266700,275300,301600,328800,372500,408900,
定年前再任用短時間勤務職員以外の職員,37,241100,268200,277100,303700,331000,374900,411400,
定年前再任用短時間勤務職員以外の職員,38,242500,269800,278900,305700,333100,377600,413700,
定年前再任用短時間勤務職員以外の職員,39,243900,271300,280800,307700,335200,380300,415900,
定年前再任用短時間勤務職員以外の職員,40,245200,272800,282600,309700,337400,382900,418100,
定年前再任用短時間勤務職員以外の職員,41,246500,274300,284500,311800,339600,385400,420300,
定年前再任用短時間勤務職員以外の職員,42,247900,275800,286500,313900,341900,387600,422400,
定年前再任用短時間勤務職員以外の職員,43,249200,277300,288500,316000,344300,389800,424500,
定年前再任用短時間勤務職員以外の職員,44,250500,278800,290600,318200,346700,392000,426500,
定年前再任用短時間勤務職員以外の職員,45,251900,280400,292600,320500,349000,394100,428500,
定年前再任用短時間勤務職員以外の職員,46,253300,281900,294400,322400,350900,396300,430500,
定年前再任用短時間勤務職員以外の職員,47,254600,283400,296100,324300,352900,398500,432400,
定年前再任用短時間勤務職員以外の職員,48,255900,284900,297800,326300,354900,400700,434300,
定年前再任用短時間勤務職員以外の職員,49,257300,286500,299500,328300,356800,402800,436200,
定年前再任用短時間勤務職員以外の職員,50,258600,288000,301300,330200,358800,404900,438000,
定年前再任用短時間勤務職員以外の職員,51,260000,289500,303000,332100,360800,407000,439800,
定年前再任用短時間勤務職員以外の職員,52,261400,291000,304700,334100,362700,409000,441600,
定年前再任用短時間勤務職員以外の職員,53,262700,292600,306400,336100,364600,411000,443300,
定年前再任用短時間勤務職員以外の職員,54,264000,294200,308100,338000,366500,412800,444700,
定年前再任用短時間勤務職員以外の職員,55,265400,295700,309800,339900,368400,414600,446100,
定年前再任用短時間勤務職員以外の職員,56,266800,297200,311500,341900,370300,416400,447400,
定年前再任用短時間勤務職員以外の職員,57,268100,298600,313200,343900,372100,418100,448600,
定年前再任用短時間勤務職員以外の職員,58,269400,300100,314900,345800,374000,419700,449700,
定年前再任用短時間勤務職員以外の職員,59,270800,301600,316600,347800,375900,421300,450800,
定年前再任用短時間勤務職員以外の職員,60,272200,303100,318300,349700,377700,422800,451800,
定年前再任用短時間勤務職員以外の職員,61,273500,304600,320000,351700,379500,424300,452800,
定年前再任用短時間勤務職員以外の職員,62,274800,306100,321700,353600,381400,425700,453600,
定年前再任用短時間勤務職員以外の職員,63,276200,307600,323300,355400,383200,427000,454400,
定年前再任用短時間勤務職員以外の職員,64,277500,309100,325000,357300,385000,428300,455200,
定年前再任用短時間勤務職員以外の職員,65,278900,310600,326700,359100,386800,429600,456000,
定年前再任用短時間勤務職員以外の職員,66,280200,312000,328300,360900,388600,430700,456700,
定年前再任用短時間勤務職員以外の職員,67,281600,313500,330000,362800,390400,431800,457400,
定年前再任用短時間勤務職員以外の職員,68,282900,315000,331700,364600,392100,432800,458000,
定年前再任用短時間勤務職員以外の職員,69,284300,316500,333400,366500,393800,433800,458600,
定年前再任用短時間勤務職員以外の職員,70,285600,317900,335100,368200,395300,434900,459200,
定年前再任用短時間勤務職員以外の職員,71,286900,319400,336800,369800,396800,436000,459800,
定年前再任用短時間勤務職員以外の職員,72,288300,320900,338500,371400,398200,437000,460500,
定年前再任用短時間勤務職員以外の職員,73,289700,322400,340100,373000,399600,438000,461100,
定年前再任用短時間勤務職員以外の職員,74,291100,323800,341700,374600,401000,438700,461700,
定年前再任用短時間勤務職員以外の職員,75,292400,325200,343400,376200,402400,439400,462300,
定年前再任用短時間勤務職員以外の職員,76,293700,326500,345100,377800,403700,440100,462800,
定年前再任用短時間勤務職員以外の職員,77,295000,327800,346700,379300,405000,440700,463400,
定年前再任用短時間勤務職員以外の職員,78,296300,329000,348300,380700,406300,441300,463800,
定年前再任用短時間勤務職員以外の職員,79,297700,330200,349800,382100,407500,441900,464200,
定年前再任用短時間勤務職員以外の職員,80,299000,331300,351300,383500,408600,442500,464800,
定年前再任用短時間勤務職員以外の職員,81,300300,332400,352700,384800,409700,443100,465300,
定年前再任用短時間勤務職員以外の職員,82,301700,333500,354000,386000,410800,443700,465800,
定年前再任用短時間勤務職員以外の職員,83,303000,334600,355300,387200,411800,444300,466300,
