職員の区分,職務の級号給,１級給料月額（円）,２級給料月額（円）,３級給料月額（円）,４級給料月額（円）
定年前再任用短時間勤務職員以外の職員,1,147800,231400,268900,300300
定年前再任用短時間勤務職員以外の職員,2,148300,233300,270700,302400
定年前再任用短時間勤務職員以外の職員,3,148800,235000,272400,304500
定年前再任用短時間勤務職員以外の職員,4,149300,236800,274200,306600
定年前再任用短時間勤務職員以外の職員,5,149800,238500,276000,308700
定年前再任用短時間勤務職員以外の職員,6,150300,240100,277800,310800
定年前再任用短時間勤務職員以外の職員,7,150800,241600,279600,312900
定年前再任用短時間勤務職員以外の職員,8,151400,243100,281400,315000
定年前再任用短時間勤務職員以外の職員,9,152000,244500,283200,317000
定年前再任用短時間勤務職員以外の職員,10,152500,246000,285000,319000
定年前再任用短時間勤務職員以外の職員,11,153200,247500,286800,321000
定年前再任用短時間勤務職員以外の職員,12,153800,249000,288600,323000
定年前再任用短時間勤務職員以外の職員,13,154400,250500,290400,324900
定年前再任用短時間勤務職員以外の職員,14,155100,252000,292100,326900
定年前再任用短時間勤務職員以外の職員,15,155900,253500,293800,328800
定年前再任用短時間勤務職員以外の職員,16,156700,255000,295500,330700
定年前再任用短時間勤務職員以外の職員,17,157500,256400,297200,332600
定年前再任用短時間勤務職員以外の職員,18,158500,257900,298900,334500
定年前再任用短時間勤務職員以外の職員,19,159600,259400,300500,336400
定年前再任用短時間勤務職員以外の職員,20,160700,260900,302200,338400
定年前再任用短時間勤務職員以外の職員,21,161800,262400,303900,340200
定年前再任用短時間勤務職員以外の職員,22,162900,263900,305500,342100
定年前再任用短時間勤務職員以外の職員,23,164000,265400,307100,343900
定年前再任用短時間勤務職員以外の職員,24,165100,266900,308700,345700
定年前再任用短時間勤務職員以外の職員,25,166200,268400,310300,347500
定年前再任用短時間勤務職員以外の職員,26,167500,269900,311800,349200
定年前再任用短時間勤務職員以外の職員,27,168900,271400,313300,350800
定年前再任用短時間勤務職員以外の職員,28,170300,272900,314700,352400
定年前再任用短時間勤務職員以外の職員,29,171700,274400,316100,354000
定年前再任用短時間勤務職員以外の職員,30,173200,276000,317600,355200
定年前再任用短時間勤務職員以外の職員,31,174700,277500,319000,356400
定年前再任用短時間勤務職員以外の職員,32,176200,278900,320400,357600
定年前再任用短時間勤務職員以外の職員,33,177800,280400,321800,358800
定年前再任用短時間勤務職員以外の職員,34,179300,281900,323200,359900
定年前再任用短時間勤務職員以外の職員,35,180900,283200,324600,360900
定年前再任用短時間勤務職員以外の職員,36,182500,284600,325900,362000
定年前再任用短時間勤務職員以外の職員,37,184100,285900,327200,363000
定年前再任用短時間勤務職員以外の職員,38,185600,287300,328400,364000
定年前再任用短時間勤務職員以外の職員,39,187200,288700,329600,364900
定年前再任用短時間勤務職員以外の職員,40,188800,289900,330700,365800
定年前再任用短時間勤務職員以外の職員,41,190300,291200,331800,366700
定年前再任用短時間勤務職員以外の職員,42,191700,292400,332800,367500
定年前再任用短時間勤務職員以外の職員,43,193100,293600,333700,368300
定年前再任用短時間勤務職員以外の職員,44,194500,294700,334600,369100
定年前再任用短時間勤務職員以外の職員,45,195800,295800,335500,369800
定年前再任用短時間勤務職員以外の職員,46,196900,296800,336400,370400
定年前再任用短時間勤務職員以外の職員,47,198000,297800,337200,371000
定年前再任用短時間勤務職員以外の職員,48,199100,298800,338000,371600
定年前再任用短時間勤務職員以外の職員,49,200100,299800,338800,372100
定年前再任用短時間勤務職員以外の職員,50,201100,300800,339600,372600
定年前再任用短時間勤務職員以外の職員,51,202100,301700,340300,373000
定年前再任用短時間勤務職員以外の職員,52,203000,302600,341000,373400
定年前再任用短時間勤務職員以外の職員,53,204000,303500,341700,373800
定年前再任用短時間勤務職員以外の職員,54,205100,304400,342400,374200
定年前再任用短時間勤務職員以外の職員,55,206200,305300,343000,374600
定年前再任用短時間勤務職員以外の職員,56,207400,306100,343600,375000
定年前再任用短時間勤務職員以外の職員,57,208700,306900,344200,375300
定年前再任用短時間勤務職員以外の職員,58,209900,307700,344700,375700
定年前再任用短時間勤務職員以外の職員,59,211200,308500,345200,376100
定年前再任用短時間勤務職員以外の職員,60,212500,309300,345700,376400
定年前再任用短時間勤務職員以外の職員,61,213800,310100,346100,376700
定年前再任用短時間勤務職員以外の職員,62,215100,310700,346500,377100
定年前再任用短時間勤務職員以外の職員,63,216400,311300,346900,377500
定年前再任用短時間勤務職員以外の職員,64,217700,311900,347300,377800
定年前再任用短時間勤務職員以外の職員,65,218900,312500,347700,378100
定年前再任用短時間勤務職員以外の職員,66,220200,313100,348100,378500
定年前再任用短時間勤務職員以外の職員,67,221500,313700,348500,378900
定年前再任用短時間勤務職員以外の職員,68,222800,314300,348900,379200
定年前再任用短時間勤務職員以外の職員,69,224000,314800,349200,379500
定年前再任用短時間勤務職員以外の職員,70,225300,315400,349600,379800
定年前再任用短時間勤務職員以外の職員,71,226600,315900,350000,380100
定年前再任用短時間勤務職員以外の職員,72,227900,316400,350300,380400
定年前再任用短時間勤務職員以外の職員,73,229200,316900,350600,380700
定年前再任用短時間勤務職員以外の職員,74,230500,317400,351000,381000
定年前再任用短時間勤務職員以外の職員,75,231800,317900,351300,381300
定年前再任用短時間勤務職員以外の職員,76,233100,318400,351600,381600
定年前再任用短時間勤務職員以外の職員,77,234400,318800,351900,381900
定年前再任用短時間勤務職員以外の職員,78,235600,319300,352300,382200
定年前再任用短時間勤務職員以外の職員,79,236900,319700,352600,382500
定年前再任用短時間勤務職員以外の職員,80,238200,320100,352900,382800
定年前再任用短時間勤務職員以外の職員,81,239400,320500,353200,383100
定年前再任用短時間勤務職員以外の職員,82,240700,320900,353500,383400
定年前再任用短時間勤務職員以外の職員,83,242000,321300,353800,383700
定年前再任用短時間勤務職員以外の職員,84,243200,321600,354100,384000
定年前再任用短時間勤務職員以外の職員,85,244500,321900,354400,384200
定年前再任用短時間勤務職員以外の職員,86,245800,322300,354700,384500
定年前再任用短時間勤務職員以外の職員,87,247100,322700,355000,384800
定年前再任用短時間勤務職員以外の職員,88,248400,323000,355300,385100
定年前再任用短時間勤務職員以外の職員,89,249600,323300,355600,385400
定年前再任用短時間勤務職員以外の職員,90,250900,323700,355900,385700
定年前再任用短時間勤務職員以外の職員,91,252200,324000,356200,386000
定年前再任用短時間勤務職員以外の職員,92,253500,324300,356500,386300
定年前再任用短時間勤務職員以外の職員,93,254800,324600,356800,386600
定年前再任用短時間勤務職員以外の職員,94,256100,325000,357100,386900
定年前再任用短時間勤務職員以外の職員,95,257300,325300,357400,387200
定年前再任用短時間勤務職員以外の職員,96,258500,325600,357700,387500
定年前再任用短時間勤務職員以外の職員,97,259600,325900,358000,387800
定年前再任用短時間勤務職員以外の職員,98,260800,326300,358300,388100
定年前再任用短時間勤務職員以外の職員,99,262000,326600,358600,388400
定年前再任用短時間勤務職員以外の職員,100,263100,326900,358900,388700
定年前再任用短時間勤務職員以外の職員,101,264100,327100,359200,389000
定年前再任用短時間勤務職員以外の職員,102,265200,327400,359500,389300
定年前再任用短時間勤務職員以外の職員,103,266300,327700,359800,389600
定年前再任用短時間勤務職員以外の職員,104,267400,328000,360100,389900
定年前再任用短時間勤務職員以外の職員,105,268400,328300,360300,390200
定年前再任用短時間勤務職員以外の職員,106,269400,328700,360600,390500
定年前再任用短時間勤務職員以外の職員,107,270400,329000,360900,390800
定年前再任用短時間勤務職員以外の職員,108,271400,329200,361200,391100
定年前再任用短時間勤務職員以外の職員,109,272400,329500,361500,391400
