職員の区分,職務の級号給,１級給料月額（円）,２級給料月額（円）,３級給料月額（円）,４級給料月額（円）,５級給料月額（円）,６級給料月額（円）
定年前再任用短時間勤務職員以外の職員,1,163500,194300,254200,277200,337500,381900
定年前再任用短時間勤務職員以外の職員,2,164800,196300,256400,279300,340000,384300
定年前再任用短時間勤務職員以外の職員,3,166100,198300,258500,281400,342500,386700
定年前再任用短時間勤務職員以外の職員,4,167400,200300,260500,283500,345000,389000
定年前再任用短時間勤務職員以外の職員,5,168800,202300,262500,285700,347500,391300
定年前再任用短時間勤務職員以外の職員,6,170300,204400,264600,287800,349700,393500
定年前再任用短時間勤務職員以外の職員,7,171800,206400,266600,289900,351900,395700
定年前再任用短時間勤務職員以外の職員,8,173400,208400,268700,292000,354100,397800
定年前再任用短時間勤務職員以外の職員,9,175000,210400,270800,294200,356200,399900
定年前再任用短時間勤務職員以外の職員,10,176700,212400,272900,296600,358300,402000
定年前再任用短時間勤務職員以外の職員,11,178500,214400,275000,299000,360500,404100
定年前再任用短時間勤務職員以外の職員,12,180400,216400,277100,301400,362700,406100
定年前再任用短時間勤務職員以外の職員,13,182300,218500,279200,303900,364900,408100
定年前再任用短時間勤務職員以外の職員,14,184200,220500,281300,306300,367100,410100
定年前再任用短時間勤務職員以外の職員,15,186200,222500,283400,308800,369300,412100
定年前再任用短時間勤務職員以外の職員,16,188200,224500,285500,311300,371500,414100
定年前再任用短時間勤務職員以外の職員,17,190300,226600,287600,313800,373600,416100
定年前再任用短時間勤務職員以外の職員,18,192600,228900,290000,316000,375800,418100
定年前再任用短時間勤務職員以外の職員,19,194900,231100,292500,318200,377900,420100
定年前再任用短時間勤務職員以外の職員,20,197200,233300,294900,320300,380000,422100
定年前再任用短時間勤務職員以外の職員,21,199500,235400,297300,322400,382000,424100
定年前再任用短時間勤務職員以外の職員,22,200700,237500,299600,324500,384100,426100
定年前再任用短時間勤務職員以外の職員,23,201900,239500,301800,326700,386100,428000
定年前再任用短時間勤務職員以外の職員,24,203100,241500,304000,328900,388100,429900
定年前再任用短時間勤務職員以外の職員,25,204200,243400,306100,331000,390100,431800
定年前再任用短時間勤務職員以外の職員,26,205400,245400,308300,333100,392100,433700
定年前再任用短時間勤務職員以外の職員,27,206600,247400,310500,335300,394000,435600
定年前再任用短時間勤務職員以外の職員,28,207800,249300,312600,337500,395900,437500
定年前再任用短時間勤務職員以外の職員,29,209000,251200,314600,339600,397800,439400
定年前再任用短時間勤務職員以外の職員,30,210200,253100,316600,341800,399700,441300
定年前再任用短時間勤務職員以外の職員,31,211400,255100,318700,343900,401600,443200
定年前再任用短時間勤務職員以外の職員,32,212600,257100,320700,346100,403500,445100
定年前再任用短時間勤務職員以外の職員,33,213800,259000,322700,348200,405400,446900
定年前再任用短時間勤務職員以外の職員,34,215100,261000,324700,350300,407300,448700
定年前再任用短時間勤務職員以外の職員,35,216500,262900,326800,352500,409200,450500
定年前再任用短時間勤務職員以外の職員,36,217800,264800,328800,354600,411000,452300
定年前再任用短時間勤務職員以外の職員,37,219100,266700,330800,356800,412800,454100
定年前再任用短時間勤務職員以外の職員,38,220500,268600,332800,359000,414700,455800
定年前再任用短時間勤務職員以外の職員,39,221800,270500,334900,361100,416500,457500
定年前再任用短時間勤務職員以外の職員,40,223100,272500,336900,363200,418300,459200
定年前再任用短時間勤務職員以外の職員,41,224500,274400,338900,365200,420100,460900
定年前再任用短時間勤務職員以外の職員,42,226100,276400,341000,367100,421900,462600
定年前再任用短時間勤務職員以外の職員,43,227800,278300,343000,369100,423700,464300
定年前再任用短時間勤務職員以外の職員,44,229500,280200,345000,371000,425500,466000
定年前再任用短時間勤務職員以外の職員,45,231200,282100,347000,373000,427300,467600
定年前再任用短時間勤務職員以外の職員,46,232600,284000,349000,375000,429000,469200
