"年月[西暦]","調査項目","設問","回答者の属性種別","回答者の属性","選択肢A[人]","選択肢B[人]","選択肢C[人]","選択肢D[人]","選択肢E[人]","選択肢F[人]","選択肢G[人]","選択肢H[人]","選択肢I[人]","選択肢J[人]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","性別","男性","46","28","68","64","43","55","39","36","6","15","29.5","17.9","43.6","41.0","27.6","35.3","25.0","23.1","3.8","9.6"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","性別","女性","84","54","146","132","73","84","57","66","9","17","31.0","19.9","53.9","48.7","26.9","31.0","21.0","24.4","3.3","6.3"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","18～29歳","7","5","13","11","9","7","8","5","0","6","21.2","15.2","39.4","33.3","27.3","21.2","24.2","15.2","0.0","18.2"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","30～39歳","22","15","28","25","22","26","18","23","1","7","33.8","23.1","43.1","38.5","33.8","40.0","27.7","35.4","1.5","10.8"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","40～49歳","32","22","54","52","31","36","23","29","3","1","33.3","22.9","56.3","54.2","32.3","37.5","24.0","30.2","3.1","1.0"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","50～59歳","22","21","40","44","22","34","21","18","5","7","24.4","23.3","44.4","48.9","24.4","37.8","23.3","20.0","5.6","7.8"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","60～69歳","22","11","36","27","13","21","14","14","1","4","36.7","18.3","60.0","45.0","21.7","35.0","23.3","23.3","1.7","6.7"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","年齢","70歳以上","25","9","44","37","19","16","12","14","5","7","29.8","10.7","52.4","44.0","22.6","19.0","14.3","16.7","6.0","8.3"

"港区の環境に関する区民アンケート（郵送）調査結果・クロス集計表・区の取組Q9","Ver202003",,,,,,,,,,,,,,,,,,,,,,,
