"職種","職別現員 統括参事[人]","職別現員 参事[人]","職別現員 統括課長[人]","職別現員 副参事[人]","職別現員 課長補佐[人]","職別現員 係長[人]","職別現員 主査[人]","職別現員 主任[人]","職別現員 係員[人]","職別現員 計[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 派遣法による派遣[人]","定数外 派遣交流[人]","定数外 配偶者同行休業[人]"
"事務","0","13","17","32","51","152","46","340","344","995","13","13","34","5","0","2"
"社会教育","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(a)事務系計","0","13","17","32","51","152","46","340","344","995","13","13","34","5","0","2"
"福祉 福祉","0","1","0","3","4","18","37","20","35","118","1","2","3","3","0","0"
"福祉 児童指導","0","0","0","0","2","7","2","21","22","54","0","0","0","0","0","0"
"福祉 保育士","0","0","0","0","3","42","8","99","164","316","0","3","23","0","0","0"
"心理","0","0","0","0","0","2","3","3","6","14","0","0","0","0","0","0"
"(b)福祉系計","0","1","0","3","9","69","50","143","227","502","1","5","26","3","0","0"
"土木造園 土木技術","0","2","0","10","9","18","4","15","29","87","0","1","1","0","0","0"
"土木造園 造園技術","0","0","0","1","0","3","0","2","3","9","0","0","2","0","0","0"
"建築","0","0","3","5","4","20","0","21","26","79","2","1","5","0","0","0"
"機械","0","0","0","0","0","1","0","5","2","8","0","0","0","0","0","0"
"電気","0","0","1","0","0","1","0","3","3","8","1","0","0","0","0","0"
"衛生監視 保健衛生","0","0","0","0","0","5","2","12","4","23","0","0","2","0","0","0"
"衛生監視 食品衛生","0","0","0","1","1","4","2","10","5","23","0","1","2","0","0","0"
"衛生監視 化学技術","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"学芸研究","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"(c)一般技術系計","0","2","4","17","14","52","8","68","74","239","3","3","12","0","0","0"
"医師","0","2","0","0","0","0","1","0","0","3","0","1","0","0","0","0"
"診療放射線","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"歯科衛生","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"理学療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"作業療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"検査技術","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0"
"栄養士","0","0","0","0","0","1","4","2","2","9","0","0","0","0","0","0"
"保健師","0","0","0","1","5","2","5","13","12","38","0","0","3","0","0","0"
"看護師","0","0","0","0","0","0","6","7","3","16","0","0","0","0","0","0"
"(d)医療技術系計","0","2","0","1","5","5","16","24","18","71","0","1","4","0","0","0"
"１ 自動車運転","0","0","0","0","0","5","0","3","3","11","0","0","0","0","0","0"
"２ 警備","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"２ 作業１","0","0","0","0","0","0","0","2","15","17","0","0","0","0","0","0"
"３ 調理","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0"
"３ 用務","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"３ 作業２","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"４ 家庭奉仕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"５ 自動車運転２","0","0","0","0","0","3","0","13","2","18","0","0","0","0","0","0"
"５ 自動車整備","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"６ 作業３","0","0","0","0","2","15","0","46","17","80","0","1","0","0","0","0"
"(e)技能系計","0","0","0","0","2","23","0","71","37","133","0","2","0","0","0","0"
"事務（業務）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(f)業務系計","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1)(a)～(f)一般関係計","0","18","21","53","81","301","120","646","700","1940","17","24","76","8","0","2"

"令和4年度港区行政資料集　一般関係職員（常勤職員）・再任用フルタイム勤務職員を含む","Ver202204",,,,,,,,,,,,,,,
