"資産名称","施設名称","施設類型","所在地","補助科目名称","数量","単位","取得年度","取得価額","減価償却累計額","当期減価償却額","期末簿価","経度","緯度","分類"
"整備_緑野中学校　体育館冷暖房設備整備","緑野中学校","A08_中学校","丸山1-1-19","建物付属設備","0","","令和2年度","42064000","5636576","2818288","36427424","139.657294168838","35.7238336710175","固定資産台帳_事業用資産_建物等_資産別"
"整備_啓明小学校　体育館冷暖房","啓明小学校","A07_小学校","大和町1-18-1","建物付属設備","0","","令和2年度","43291400","5801046","2900523","37490354","139.652394745014","35.713499638023","固定資産台帳_事業用資産_建物等_資産別"
"改修_北原小学校　体育館冷暖房設備整備","北原小学校","A07_小学校","野方6-30-6","建物付属設備","0","","令和2年度","40065500","5368776","2684388","34696724","139.651571878047","35.7213190304244","固定資産台帳_事業用資産_建物等_資産別"
"改修_上鷺宮小学校　体育館冷暖房設備整備","上鷺宮小学校","A07_小学校","上鷺宮1-24-36","建物付属設備","0","","令和2年度","42401700","5681826","2840913","36719874","139.635130520409","35.7314435950351","固定資産台帳_事業用資産_建物等_資産別"
"改修_南中野中学校　体育館冷暖房設備整備","南中野中学校","A08_中学校","南台5-22-17","建物付属設備","0","","令和2年度","42038700","5633184","2816592","36405516","139.662432365158","35.6825689768881","固定資産台帳_事業用資産_建物等_資産別"
"整備_江古田小学校　特別支援教室冷暖房設備","江古田小学校","A07_小学校","江古田2-13-28","建物付属設備","0","","令和2年度","8030000","1076020","538010","6953980","139.666767963748","35.7263551533136","固定資産台帳_事業用資産_建物等_資産別"
"整備_中野区立総合体育館","中野区立総合体育館","A04_体育館","新井3-37-78","建物","12491.11","平方メートル","令和2年度","7517846629","330785250","165392625","7187061379","139.662941481091","35.7157521445502","固定資産台帳_事業用資産_建物等_資産別"
"整備_中野区立総合体育館　電気設備","中野区立総合体育館","A04_体育館","新井3-37-78","建物付属設備","0","","令和2年度","701972633","94064332","47032166","607908301","139.662941481091","35.7157521445502","固定資産台帳_事業用資産_建物等_資産別"
"整備_中野区立総合体育館　空調換気設備","中野区立総合体育館","A04_体育館","新井3-37-78","建物付属設備","0","","令和2年度","966923010","129567682","64783841","837355328","139.662941481091","35.7157521445502","固定資産台帳_事業用資産_建物等_資産別"
"整備_中野区立総合体育館　給排水衛生器具設備","中野区立総合体育館","A04_体育館","新井3-37-78","建物付属設備","0","","令和2年度","452487003","60633258","30316629","391853745","139.662941481091","35.7157521445502","固定資産台帳_事業用資産_建物等_資産別"
