No,調査項目,コード説明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,管理番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,調査時期,1:第二四半期,2:第三四半期,3:第四半期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,調査地点ID,1:谷中,2:上野,3:浅草,4:浅草橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,調査年月日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,調査時刻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,問１_居住地区分,1:都内,2:都外,3:海外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,問１_都道府県名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,問１_区市町村名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,問１_国名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,問１_入国空港・港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,問１_出国空港・港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,問2_性別,1:女性,2:男性,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,問2_年齢,1:19歳以下,2:20～24歳,3:25～29歳,4:30～34歳,5:35～39歳,6:40～44歳,7:45～49歳,8:50～54歳,9:55～59歳,10:60～64歳,11:65～69歳,12:70～74歳,13:75歳以上,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,問3-①_日帰り-宿泊,1:日帰り,2:宿泊,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,問3-②_区内宿泊数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,問3-②_区外宿泊数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,問3-②_区外地名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,問3-②_区外宿泊施設名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,問3-②_総宿泊数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,問3-②_区内宿泊施設数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,問3-②_1．実家や知人・親戚宅,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,問3-②_2．旅館,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,問3-②_3．ホテル,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,問3-②_4．民泊,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,問3-②_5．保養所・研修所,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,問3-②_6．車中泊・交通機関泊,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,問3-②_7．その他,0:選択なし,1:選択あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,問3-②_その他/内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,問3-②_無回答,0:回答あり,1:回答なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,問4-①_主要目的,1:ビジネス,2:観光,3:帰省・知人訪問,4:その他,999:不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,問4-①_主要目的／その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,問4-②_目的１,1:名所・旧跡めぐり,2:お土産の購入,3:ショッピング（お土産を除く）,4:伝統文化（祭り等）の見学,5:伝統文化の体験,6:自然の風景を見る,7:食事を楽しむ,8:美術館・博物館,9:動物園・植物園・水族館,10:テーマパーク等,11:スポーツをする・観戦する,12:景色を楽しむ,13:都心の雰囲気を楽しむ,14:下町の雰囲気を楽しむ,15:ナイトライフを楽しむ,16:イベント・コンベンション等への参加,17:演劇・落語の鑑賞,18:音楽鑑賞,19:屋形船,20:水上バス,21:写真の撮影を楽しむ,22:SNS投稿用の写真の撮影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,問4-②_場所１,1:谷中銀座商店街,2:朝倉彫塑間,3:谷中霊園,4:絵処アラン・ウェスト,5:大名時計博物館,6:SCAI THE BATHHOUSE,7:旧吉田屋酒店,8:ねぎし三平堂,9:台東区立書道博物館,10:子規庵,11:硯の資料室,12:台東区立一葉記念館,13:その他谷中エリア,14:東京芸術大学大学美術館,15:東京芸術大学奏楽堂,16:国立国会図書館・国際子ども図書館,17:東京国立博物館,18:黒田記念館,19:台東区立旧東京音楽学校奏楽堂,20:東京都美術館,21:東京都恩賜上野動物園,22:国立科学博物館（上野本館）,23:国立西洋美術館,24:東京文化会館,25:日本芸術院,26:上野の森美術館,27:清水観音堂,28:横山大観記念館,29:台東区立下町風俗資料館,30:都立旧岩崎邸庭園,31:鈴本演芸場,32:お江戸上野広小路亭,33:アメ横,34:世界の銀器館,35:その他上野エリア,36:皮革産業資料館,37:池波正太郎記念文庫,38:象牙工芸館,39:台東区立江戸下町伝統工芸館,40:浅草花やしき,41:浅草寺（雷門）,42:アミューズミュージアム,43:かわとはきものギャラリー,44:木馬館/木馬亭,45:浅草演芸ホール,46:東洋館,47:浅草ROXまつり湯,48:太鼓館,49:かっぱ橋道具街,50:浅草公会堂,51:仲見世商店街,52:台東区立浅草文化観光センター,53:あみ清（屋形船）,54:俥屋店舗・人力車資料室（時代屋）,55:エース世界のカバン館,56:その他浅草エリア,57:袋物参考館,58:日本文具資料館,59:その他浅草橋エリア
34,問4-②_目的２,1:名所・旧跡めぐり,2:お土産の購入,3:ショッピング（お土産を除く）,4:伝統文化（祭り等）の見学,5:伝統文化の体験,6:自然の風景を見る,7:食事を楽しむ,8:美術館・博物館,9:動物園・植物園・水族館,10:テーマパーク等,11:スポーツをする・観戦する,12:景色を楽しむ,13:都心の雰囲気を楽しむ,14:下町の雰囲気を楽しむ,15:ナイトライフを楽しむ,16:イベント・コンベンション等への参加,17:演劇・落語の鑑賞,18:音楽鑑賞,19:屋形船,20:水上バス,21:写真の撮影を楽しむ,22:SNS投稿用の写真の撮影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
