"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2019","総務費","777155","4.6","777155","4.5"
"2019","保険給付費","15176232","89.7","15176232","87.3"
"2019","地域支援事業費","953190","5.6","953190","5.5"
"2019","基金積立金","129","0.0","400769","2.3"
"2019","諸支出金","4335","0.0","83216","0.5"
"2019","歳出合計","16911041","100","17390562","100"
"2020","総務費","839263","4.6",,
"2020","保険給付費","16436043","90.1",,
"2020","地域支援事業費","950254","5.2",,
"2020","基金積立金","138","0.0",,
"2020","諸支出金","7639","0.0",,
"2020","歳出合計","18233337","100",,

"令和2年度港区行政資料集　介護保険会計歳出予算","Ver202003",,,,
