"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","全体",,"558","81","476","1"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性（計）","231","30","201","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 18～29歳","13","1","12","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 30～39歳","38","3","35","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 40～49歳","50","3","47","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 50～59歳","47","7","40","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 60～69歳","42","6","36","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 70歳以上","40","9","31","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性（計）","313","48","265","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 18～29歳","26","2","24","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 30～39歳","49","5","44","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 40～49歳","78","13","65","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 50～59歳","62","10","52","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 60～69歳","56","13","43","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 70歳以上","42","5","37","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","無回答","14","3","10","1"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","自営業主・家族従業","86","9","77","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","35","208","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","6","29","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","家事専業","55","10","45","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","学生","13","1","12","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","無職","81","13","68","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","その他","31","4","27","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","無回答","14","3","10","1"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","芝地区","86","9","77","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","麻布地区","87","15","72","0"
"202203","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","赤坂地区","81","12","69","0"
