,,20％未満(%) ,20～40％未満(%) ,40～60％未満(%) ,60～80％未満(%) ,80％以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,16.3,17.3,14.7,13.7,32.7,5.3,416
,前回調査,15.2,16,16.2,13.5,31.5,7.6,394
業種別,食品・飲料,16.7,5.6,11.1,11.1,44.4,11.1,18
業種別,衣料・身の回り品,9.8,12.2,9.8,22,34.1,12.2,41
業種別,住宅・建物,21.4,0,28.6,14.3,35.7,0,14
業種別,紙・印刷,26.5,16.2,14.7,14.7,26.5,1.5,68
業種別,材料・部品[非金属] ,20,22,18,20,20,0,50
業種別,材料・部品[金属] ,12.8,16.3,18.6,11.6,33.7,7,86
業種別,一般・精密機械,9.9,21,14.8,11.1,37,6.2,81
業種別,電機・電子,11.4,17.1,8.6,11.4,42.9,8.6,35
業種別,その他,31.6,31.6,5.3,0,31.6,0,19
従業者規模別,1～3人,15,13.2,12,16.2,38.3,5.4,167
従業者規模別,4～9人,14.7,16.4,19,15.5,31.9,2.6,116
従業者規模別,10～20人,16.4,27.3,10.9,9.1,30.9,5.5,55
従業者規模別,21～50人,30.2,20.9,14,9.3,23.3,2.3,43
従業者規模別,51～99人,20,20,20,0,26.7,13.3,15
従業者規模別,100人以上,8.3,16.7,25,25,16.7,8.3,12
売上高増減別(感染症発生前後),増加,25,21.9,15.6,12.5,25,0,32
売上高増減別(感染症発生前後),横ばい,16.3,12.5,21.3,11.3,36.3,2.5,80
売上高増減別(感染症発生前後),減少,15.7,17.7,12.3,15,33.1,6.1,293
