,,系列取引をしている(%) ,以前はしていたが今はない(%) ,系列取引はない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,16.5,2.1,78.7,2.7,2527
,前回調査,15.4,1.8,77,5.8,2552
業種別,食品・飲料,22.8,0,75.9,1.3,79
業種別,衣料・身の回り品,18.1,2.7,76.1,3.1,226
業種別,住宅・建物,11.5,1.6,85.2,1.6,122
業種別,紙・印刷,13.5,1.2,82.5,2.8,502
業種別,材料・部品[非金属] ,19.2,1.2,76.9,2.7,260
業種別,材料・部品[金属] ,15.9,3.1,77.5,3.5,542
業種別,一般・精密機械,19.1,2.4,76.2,2.4,425
業種別,電機・電子,18.7,2.1,77.5,1.6,187
業種別,その他,11.2,3.5,82.4,2.9,170
従業者規模別,1～3人,14.5,2.3,79.4,3.8,1155
従業者規模別,4～9人,17.2,3,77.5,2.4,675
従業者規模別,10～20人,18.8,1,78.4,1.7,292
従業者規模別,21～50人,19.9,0.9,78.2,0.9,216
従業者規模別,51～99人,19.5,0,79.2,1.3,77
従業者規模別,100人以上,21.4,0,76.8,1.8,56
