,,新規顧客の獲得(%),技術力の向上(%),従業員の意欲向上(%),収益力の向上(%),認知度の向上(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,47.5,46.9,15.3,41.8,15.8,5.6,5.1,4.5,177
業種別,食品・飲料,71.4,57.1,28.6,71.4,14.3,0,0,0,7
業種別,衣料・身の回り品,47.1,35.3,5.9,52.9,17.6,0,5.9,11.8,17
業種別,住宅・建物,40,40,20,0,0,0,20,0,5
業種別,紙・印刷,40,20,0,20,40,20,0,0,5
業種別,材料・部品[非金属] ,30,40,20,55,20,0,5,10,20
業種別,材料・部品[金属] ,50,45.5,22.7,31.8,18.2,4.5,9.1,4.5,22
業種別,一般・精密機械,56.9,51,9.8,43.1,13.7,11.8,2,3.9,51
業種別,電機・電子,40.5,62.2,18.9,40.5,18.9,2.7,8.1,0,37
業種別,その他,41.7,16.7,16.7,33.3,0,8.3,0,8.3,12
従業者規模別,1～3人,40.5,45.9,0,24.3,10.8,10.8,5.4,8.1,37
従業者規模別,4～9人,42.6,29.6,9.3,37,25.9,3.7,9.3,7.4,54
従業者規模別,10～20人,51.7,58.6,31,48.3,6.9,0,3.4,3.4,29
従業者規模別,21～50人,48,60,28,56,20,4,0,0,25
従業者規模別,51～99人,57.1,35.7,28.6,64.3,7.1,7.1,7.1,0,14
従業者規模別,100人以上,69.2,61.5,7.7,53.8,15.4,15.4,0,0,13
売上高増減別(感染症発生前後),増加,48.3,44.8,13.8,55.2,20.7,6.9,6.9,0,29
売上高増減別(感染症発生前後),横ばい,43.9,46.3,14.6,39,12.2,12.2,7.3,7.3,41
売上高増減別(感染症発生前後),減少,48.1,47.1,15.4,38.5,14.4,2.9,3.8,4.8,104
