,,1年未満(%) ,1年以上～3年未満(%) ,3年以上～5年未満(%) ,5年以上～10年未満(%) ,10年以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,21.4,24.8,10.6,9.4,28.4,5.3,714
業種別,食品・飲料,25.5,21.6,3.9,11.8,35.3,2,51
業種別,衣料・身の回り品,32.8,9,13.4,10.4,25.4,9,67
業種別,住宅・建物,18.5,22.2,14.8,14.8,25.9,3.7,27
業種別,紙・印刷,27.7,27.7,9.2,7.7,21.5,6.2,65
業種別,材料・部品[非金属] ,21.9,31.3,8.3,8.3,22.9,7.3,96
業種別,材料・部品[金属] ,11.8,24.7,10.8,14,35.5,3.2,93
業種別,一般・精密機械,17.2,27.4,14,7,29.9,4.5,157
業種別,電機・電子,23,25.3,13.8,10.3,23,4.6,87
業種別,その他,23.2,23.2,4.3,5.8,36.2,7.2,69
従業者規模別,1～3人,15.7,19.4,11.5,9.9,34,9.4,191
従業者規模別,4～9人,24.1,22.2,8.4,10.3,30,4.9,203
従業者規模別,10～20人,22.9,24.6,7.6,8.5,32.2,4.2,118
従業者規模別,21～50人,17.4,33,16.5,11,18.3,3.7,109
従業者規模別,51～99人,31.8,22.7,11.4,11.4,22.7,0,44
従業者規模別,100人以上,30.6,41.7,11.1,0,16.7,0,36
売上高増減別(感染症発生前後),増加,18.9,30.5,17.9,13.7,13.7,5.3,95
売上高増減別(感染症発生前後),横ばい,25.9,18.9,13.3,9.1,28,4.9,143
売上高増減別(感染症発生前後),減少,20.8,24.8,8.6,8.8,31.9,5.1,467
