,,1950年以前(%) ,1951～1960年(%) ,1961～1970年(%) ,1971～1980年(%) ,1981～1990年(%) ,1991～2000年(%) ,2001～2010年(%) ,2011年以降(%) ,無回答(%) ,n(件)
,今回調査（全体）,12.7,13.7,18.2,16,13.4,8.7,6.7,4.6,6.1,2527
,前回調査,13.2,15.5,22,16.9,13.4,7.1,4.7,1.8,5.4,2552
業種別,食品・飲料,25.3,22.8,16.5,8.9,5.1,7.6,3.8,7.6,2.5,79
業種別,衣料・身の回り品,8.4,16.4,13.3,14.2,12.4,10.2,8.4,6.2,10.6,226
業種別,住宅・建物,16.4,16.4,10.7,14.8,12.3,11.5,6.6,4.1,7.4,122
業種別,紙・印刷,12.5,12,18.7,16.5,15.1,9.8,6.6,3.8,5,502
業種別,材料・部品[非金属] ,9.2,14.6,18.5,17.3,14.6,6.5,8.5,3.5,7.3,260
業種別,材料・部品[金属] ,11.8,16.1,23.1,15.9,11.3,7.2,4.4,3,7.4,542
業種別,一般・精密機械,13.2,12,20,15.3,16.5,9.6,7.1,3.8,2.6,425
業種別,電機・電子,10.7,11.8,15.5,20.3,13.4,8.6,9.6,5.9,4.3,187
業種別,その他,20.6,5.9,12.4,14.1,12.4,8.8,7.6,10,8.2,170
従業者規模別,1～3人,8.7,12.5,17.5,15.3,13.9,10.3,7.7,6.1,8.1,1155
従業者規模別,4～9人,10.1,13.9,19.9,17.8,15.4,8,7.4,3,4.6,675
従業者規模別,10～20人,17.8,13.4,18.5,16.8,11,9.2,6.5,3.8,3.1,292
従業者規模別,21～50人,19.4,20.8,17.6,14.4,11.6,6,4.6,3.7,1.9,216
従業者規模別,51～99人,35.1,18.2,18.2,11.7,5.2,3.9,2.6,1.3,3.9,77
従業者規模別,100人以上,46.4,12.5,14.3,8.9,8.9,1.8,0,5.4,1.8,56
地域別,都心,16.2,15,9.8,12.7,11,6.4,10.4,12.1,6.4,173
地域別,副都心,19.6,16.1,13.7,15.5,9.5,10.1,7.1,2.4,6,168
地域別,城東都心近接,17.4,14.6,16.5,13.6,11.7,6.4,7.2,4.8,7.9,419
地域別,城東周辺,11.3,12.3,20.4,16.5,15.2,9.5,4.7,3.4,6.7,612
地域別,城西,11.6,11.6,21.3,20,9.7,7.1,8.4,4.5,5.8,155
地域別,城南,14.1,17.5,21.9,13.8,13.1,7.8,4.2,3.4,4.2,383
地域別,城北,12.5,19.9,15.9,14.2,10.8,11.4,5.7,5.1,4.5,176
地域別,多摩,5.7,8.2,18.1,20.2,17.5,10.7,9.5,4.5,5.7,441
