,,現在の業務を維持していきたい(%),現在の業務の中で得意分野に特化していきたい(%),現状の業務の周辺分野へ展開したい(%),製造業の既存分野に加え、製造業の新分野に進出したい(%),製造業の既存分野に加え、他業種（流通業、サービス業等）に進出したい(%),その他(%),廃業の予定(%),まだ決めていない(%),無回答(%),n(件)
,今回調査（全体）,57.8,8,10.3,3.5,1.9,0.1,9.1,6.7,2.8,2527
,前回調査,50,9,7.4,2.9,1.3,0.5,12.4,8.1,8.5,2552
業種別,食品・飲料,69.6,10.1,6.3,2.5,2.5,0,5.1,3.8,0,79
業種別,衣料・身の回り品,50.4,7.5,10.2,2.2,1.3,0,12.4,10.6,5.3,226
業種別,住宅・建物,60.7,8.2,7.4,0.8,0.8,0,13.9,8.2,0,122
業種別,紙・印刷,53,9.8,12.2,2.8,2.8,0,10.6,5.4,3.6,502
業種別,材料・部品[非金属] ,57.3,10.8,13.1,2.7,0.8,0,6.2,7.7,1.5,260
業種別,材料・部品[金属] ,64.4,5.5,5.7,4.4,1.1,0,8.7,7.9,2.2,542
業種別,一般・精密機械,58.4,6.1,12.2,6.6,1.9,0,8.7,3.5,2.6,425
業種別,電機・電子,55.6,9.1,12.8,3.2,1.6,0,7,5.3,5.3,187
業種別,その他,54.7,8.8,11.2,0.6,4.7,1.2,7.6,9.4,1.8,170
従業者規模別,1～3人,56.1,5.4,5.2,1.3,1,0.1,16.8,10.9,3.3,1155
従業者規模別,4～9人,65.5,9.3,9.3,3.6,2.7,0.1,3.3,3.7,2.5,675
従業者規模別,10～20人,53.8,11,18.8,8.2,2.4,0,0.7,3.4,1.7,292
従業者規模別,21～50人,53.7,12,20.4,6,3.7,0,0.5,0.9,2.8,216
従業者規模別,51～99人,50.6,11.7,24.7,10.4,0,0,0,1.3,1.3,77
従業者規模別,100人以上,51.8,10.7,25,7.1,5.4,0,0,0,0,56
経営者年齢別,50歳未満,56.8,10.7,17.6,6,2.4,0,1.2,3.3,2.1,336
経営者年齢別,50歳代,59.5,9.8,12.4,4.4,3.3,0.2,2.7,6,1.6,630
経営者年齢別,60歳代,57.7,9,11.1,3.4,2.1,0,7.6,6.8,2.4,622
経営者年齢別,70歳以上,56.9,5.1,5.7,2.1,0.5,0.1,17.2,8.3,4,916
売上高経常利益率別,黒字(プラス),59.5,9,12.5,3.3,1.4,0.1,7.3,4.7,2.1,1260
売上高経常利益率別,赤字(マイナス),55.2,7,8.5,3.8,2.4,0,11.1,8.5,3.6,1147
売上高増減別(感染症発生前後),増加,57.5,10.6,14.5,7.8,1.7,0,2.8,3.4,1.7,179
売上高増減別(感染症発生前後),横ばい,64.6,6.4,10.3,2.2,2,0,7.7,5.3,1.5,455
売上高増減別(感染症発生前後),減少,56.3,8.1,9.9,3.5,1.9,0.1,10,7.2,3,1852
