,,個人(%) ,法人(%) ,無回答(%) ,n(件)
,今回調査（全体）,21,78.6,0.4,2527
,前回調査,25.4,73.9,0.6,2552
業種別,食品・飲料,13.9,84.8,1.3,79
業種別,衣料・身の回り品,38.5,60.6,0.9,226
業種別,住宅・建物,36.9,62.3,0.8,122
業種別,紙・印刷,17.3,82.5,0.2,502
業種別,材料・部品[非金属] ,13.5,86.2,0.4,260
業種別,材料・部品[金属] ,24.2,75.3,0.6,542
業種別,一般・精密機械,14.6,85.4,0,425
業種別,電機・電子,7.5,92.5,0,187
業種別,その他,31.2,68.2,0.6,170
地域別,都心,5.2,94.8,0,173
地域別,副都心,14.3,85.1,0.6,168
地域別,城東都心近接,27.9,71.4,0.7,419
地域別,城東周辺,27.6,72.1,0.3,612
地域別,城西,24.5,74.8,0.6,155
地域別,城南,14.9,84.6,0.5,383
地域別,城北,18.8,81.3,0,176
地域別,多摩,18.8,81,0.2,441
