,,増加,増加,増加,,減少,減少,減少,,
,,増加（50％以上）(%) ,増加（20％以上）(%) ,増加（20％未満）(%) ,横ばい（±5％未満）(%) ,減少（20％未満）(%) ,減少（20％以上）(%) ,減少（50％以上）(%) ,無回答(%) ,n(件) 
,今回調査（全体）,0.8,1.5,4.9,18,26.1,32.1,15.2,1.6,2527
業種別,食品・飲料,0,1.3,11.4,16.5,22.8,35.4,12.7,0,79
業種別,衣料・身の回り品,0.9,1.3,3.1,13.3,17.3,35.4,27.9,0.9,226
業種別,住宅・建物,1.6,0,3.3,13.9,30.3,32,16.4,2.5,122
業種別,紙・印刷,0,0.6,2,14.3,29.7,38.6,13.7,1,502
業種別,材料・部品[非金属] ,0.8,1.2,6.5,23.5,32.7,23.1,9.6,2.7,260
業種別,材料・部品[金属] ,0.2,1.1,4.1,19.7,26.2,32.5,14.8,1.5,542
業種別,一般・精密機械,1.6,3.1,7.1,19.8,23.3,30.4,12.7,2.1,425
業種別,電機・電子,1.6,1.6,11.8,26.7,23.5,24.1,8,2.7,187
業種別,その他,1.2,2.9,1.2,11.2,24.7,32.4,25.3,1.2,170
従業者規模別,1～3人,0.3,0.9,2.1,17.8,21,34.5,22.1,1.2,1155
従業者規模別,4～9人,1,1.2,4.7,17.9,27.9,33.2,12.7,1.3,675
従業者規模別,10～20人,1.4,1.7,9.2,17.5,28.4,32.5,6.2,3.1,292
従業者規模別,21～50人,0.9,3.7,12.5,18.5,35.6,23.1,3.2,2.3,216
従業者規模別,51～99人,0,1.3,7.8,24.7,37.7,23.4,2.6,2.6,77
従業者規模別,100人以上,1.8,5.4,10.7,23.2,37.5,16.1,5.4,0,56
地域別,都心,1.7,1.7,5.8,20.8,27.7,28.9,11,2.3,173
地域別,副都心,1.2,1.2,8.3,17.9,25.6,26.8,17.9,1.2,168
地域別,城東都心近接,0.5,1.2,1.9,12.6,26.7,37.7,19.1,0.2,419
地域別,城東周辺,0.5,1.3,4.4,18.6,26.1,31.5,15.5,2,612
地域別,城西,1.3,1.3,6.5,17.4,22.6,27.7,22.6,0.6,155
地域別,城南,0.8,1,6.3,19.6,24.3,33.7,11.2,3.1,383
地域別,城北,0.6,1.7,5.1,17,27.8,35.8,9.7,2.3,176
地域別,多摩,0.7,2.3,4.8,20.4,27,29.3,14.5,1.1,441
