,,法定耐用年数が到来したとき(%),自社の業績が良くなったとき(%)   ,将来の見通しが明るくなったとき(%),他社が設備投資を控えているとき(%),取引先からの要求があったとき(%),金融環境が良いとき(%),助成金・補助金が採択されたとき(%),税制優遇が受けられるとき(%),その他(%),無回答(%),n(件)
,今回調査（全体）,33.9,45.7,30.1,2.9,17.1,14.2,45,17.4,7.1,2.2,551
業種別,食品・飲料,58.6,44.8,20.7,0,24.1,20.7,51.7,20.7,6.9,3.4,29
業種別,衣料・身の回り品,33.3,43.3,33.3,6.7,16.7,13.3,43.3,10,10,0,30
業種別,住宅・建物,20,40,26.7,0,0,20,26.7,6.7,0,6.7,15
業種別,紙・印刷,43.2,47.2,31.2,1.6,14.4,17.6,42.4,18.4,4.8,2.4,125
業種別,材料・部品[非金属] ,34.9,44.4,23.8,0,22.2,12.7,39.7,15.9,14.3,1.6,63
業種別,材料・部品[金属] ,30.2,44.3,27.4,4.7,20.8,16,47.2,24.5,3.8,3.8,106
業種別,一般・精密機械,25.2,50.5,38.8,5.8,14.6,9.7,58.3,14.6,5.8,1.9,103
業種別,電機・電子,26.2,50,35.7,2.4,21.4,7.1,33.3,23.8,11.9,0,42
業種別,その他,36.4,30.3,21.2,0,12.1,15.2,42.4,6.1,9.1,0,33
従業者規模別,1～3人,25,41.7,31.3,1,12.5,10.4,34.4,5.2,5.2,4.2,96
従業者規模別,4～9人,32.1,50,26.4,2.1,12.9,20,52.1,15.7,4.3,2.9,140
従業者規模別,10～20人,36,46.8,30.6,5.4,19.8,17.1,53.2,20.7,8.1,0.9,111
従業者規模別,21～50人,35.9,49.5,37.9,3.9,15.5,10.7,47.6,23.3,8.7,0,103
従業者規模別,51～99人,37.7,41.5,22.6,3.8,18.9,11.3,35.8,18.9,13.2,5.7,53
従業者規模別,100人以上,45.7,37.1,20,0,31.4,5.7,25.7,22.9,5.7,0,35
売上高増減別(感染症発生前後),増加,33.8,49.2,36.9,3.1,21.5,6.2,49.2,15.4,10.8,1.5,65
売上高増減別(感染症発生前後),横ばい,40.8,40.8,23.3,4.9,17.5,16.5,36.9,16.5,10.7,2.9,103
売上高増減別(感染症発生前後),減少,32.1,46.5,30.7,2.4,16.3,15.2,46.3,17.9,5.6,2.1,374
