,,,黒字(プラス),黒字(プラス),黒字(プラス),黒字(プラス),,
,,赤字(マイナス)(%) ,0～2％未満(%) ,2～4％未満(%) ,4～10％未満(%) ,10％以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,45.4,17.5,9.4,11.8,11.2,4.7,2527
,前回調査,30.4,25.8,13.2,12.9,10.3,7.4,2552
業種別,食品・飲料,45.6,25.3,11.4,6.3,7.6,3.8,79
業種別,衣料・身の回り品,54.4,14.2,4,8.4,12.8,6.2,226
業種別,住宅・建物,45.9,19.7,9,11.5,9,4.9,122
業種別,紙・印刷,50.8,19.5,7.4,7.6,10.2,4.6,502
業種別,材料・部品[非金属] ,40.8,16.2,10,16.5,10.4,6.2,260
業種別,材料・部品[金属] ,46.9,15.1,10.5,14,9.6,3.9,542
業種別,一般・精密機械,37.9,18.1,12,13.9,13.9,4.2,425
業種別,電機・電子,36.4,19.8,12.8,15,12.3,3.7,187
業種別,その他,48.2,15.9,7.6,8.2,14.1,5.9,170
従業者規模別,1～3人,48.9,16.2,7.4,8.7,12.6,6.2,1155
従業者規模別,4～9人,49.8,16.9,10.1,9.8,8.7,4.7,675
従業者規模別,10～20人,44.5,17.5,8.2,15.8,11.6,2.4,292
従業者規模別,21～50人,29.6,21.3,14.8,20.4,11.6,2.3,216
従業者規模別,51～99人,18.2,27.3,18.2,26,10.4,0,77
従業者規模別,100人以上,17.9,25,17.9,28.6,10.7,0,56
地域別,都心,34.7,19.1,11.6,18.5,13.3,2.9,173
地域別,副都心,45.2,19.6,8.3,11.9,10.7,4.2,168
地域別,城東都心近接,51.3,14.1,9.8,8.8,11.9,4.1,419
地域別,城東周辺,48,16.8,7.5,8.3,12.3,7,612
地域別,城西,45.2,18.1,9.7,12.3,11.6,3.2,155
地域別,城南,43.3,17.2,10.7,15.1,8.1,5.5,383
地域別,城北,47.7,16.5,10.2,11.9,9.7,4,176
地域別,多摩,41.3,20.6,9.8,13.4,11.6,3.4,441
業務展開の最も大きな変化別,変化はない,45,18.1,9.6,11.5,11,4.7,2105
業務展開の最も大きな変化別,現状の業務の周辺分野へ展開,43.6,17.1,8.8,14.9,11.6,3.9,181
業務展開の最も大きな変化別,最終製品の製造に着手,56,16,6,14,6,2,50
業務展開の最も大きな変化別,製造業から他業種(流通・ｻｰﾋﾞｽ業等)へ展開,43.2,16.2,2.7,16.2,18.9,2.7,37
業務展開の最も大きな変化別,その他,48.4,13.7,8.4,11.6,14.7,3.2,95
