,,生産能力の維持更新(%),省力化・合理化(%),増産のための生産力強化 (%)    ,製品の質的向上(%),データ収集・可視化(%),その他(%),無回答(%),n(件)
,今回調査（全体）,67.9,42.5,28.9,54.3,8.3,1.6,1.3,551
業種別,食品・飲料,65.5,41.4,51.7,34.5,6.9,0,3.4,29
業種別,衣料・身の回り品,73.3,26.7,23.3,43.3,10,6.7,0,30
業種別,住宅・建物,66.7,53.3,13.3,20,0,0,0,15
業種別,紙・印刷,69.6,36,27.2,58.4,5.6,2.4,0.8,125
業種別,材料・部品[非金属] ,63.5,49.2,33.3,54,14.3,3.2,0,63
業種別,材料・部品[金属] ,73.6,48.1,30.2,55.7,10.4,0.9,0.9,106
業種別,一般・精密機械,69.9,42.7,34,57.3,7.8,0,1,103
業種別,電機・電子,59.5,47.6,11.9,59.5,7.1,2.4,2.4,42
業種別,その他,51.5,39.4,24.2,60.6,9.1,0,6.1,33
従業者規模別,1～3人,60.4,19.8,10.4,53.1,6.3,2.1,1,96
従業者規模別,4～9人,61.4,35,28.6,58.6,3.6,1.4,2.1,140
従業者規模別,10～20人,77.5,50.5,30.6,59.5,10.8,1.8,0.9,111
従業者規模別,21～50人,66,46.6,37.9,50.5,9.7,2.9,1.9,103
従業者規模別,51～99人,71.7,64.2,26.4,45.3,11.3,0,0,53
従業者規模別,100人以上,85.7,68.6,42.9,40,11.4,0,0,35
売上高増減別(感染症発生前後),増加,64.6,47.7,30.8,55.4,12.3,1.5,0,65
売上高増減別(感染症発生前後),横ばい,72.8,44.7,27.2,54.4,10.7,1,0,103
売上高増減別(感染症発生前後),減少,67.1,40.9,29.1,53.5,7,1.9,1.9,374
