,,5％未満(%) ,5～10％未満(%) ,10～20％未満(%) ,20～40％未満(%) ,40～60％未満(%) ,60％以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,40.8,15.4,15.1,10,6.8,5.5,6.4,311
,前回調査,46.7,18.6,11.9,9.6,1.7,3.5,8.1,345
業種別,食品・飲料,77.8,0,0,11.1,0,11.1,0,9
業種別,衣料・身の回り品,50,14.3,7.1,14.3,7.1,0,7.1,14
業種別,住宅・建物,50,25,0,0,25,0,0,4
業種別,紙・印刷,57.1,21.4,7.1,0,0,0,14.3,14
業種別,材料・部品[非金属] ,56.1,7.3,14.6,9.8,4.9,2.4,4.9,41
業種別,材料・部品[金属] ,26.6,15.6,20.3,10.9,12.5,4.7,9.4,64
業種別,一般・精密機械,30.9,17,19.1,11.7,4.3,9.6,7.4,94
業種別,電機・電子,48,22,12,8,4,4,2,50
業種別,その他,52.6,5.3,5.3,10.5,15.8,5.3,5.3,19
従業者規模別,1～3人,27,19,12.7,11.1,9.5,11.1,9.5,63
従業者規模別,4～9人,45.6,16.7,13.3,7.8,5.6,5.6,5.6,90
従業者規模別,10～20人,45.1,13.7,21.6,9.8,2,2,5.9,51
従業者規模別,21～50人,36.7,14.3,16.3,10.2,10.2,6.1,6.1,49
従業者規模別,51～99人,50,14.3,7.1,7.1,10.7,3.6,7.1,28
従業者規模別,100人以上,40,12,20,20,4,0,4,25
経営者年齢別,50歳未満,47.5,19.7,11.5,3.3,9.8,1.6,6.6,61
経営者年齢別,50歳代,46.8,13.9,10.1,10.1,8.9,5.1,5.1,79
経営者年齢別,60歳代,38.8,14.1,22.4,10.6,2.4,7.1,4.7,85
経営者年齢別,70歳以上,32.9,15.3,15.3,12.9,7.1,7.1,9.4,85
