,,4件以下(%) ,5～9件(%) ,10～19件(%) ,20～49件(%) ,50～99件(%) ,100件以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,23.7,21.3,17.8,14.8,9.7,12,0.8,2527
,前回調査,25,20.5,16.6,15.8,8,12.5,1.6,2552
業種別,食品・飲料,10.1,16.5,19,15.2,19,20.3,0,79
業種別,衣料・身の回り品,44.2,20.4,17.7,8.8,2.2,5.3,1.3,226
業種別,住宅・建物,23.8,31.1,23,11.5,4.9,5.7,0,122
業種別,紙・印刷,13.7,16.9,23.1,18.3,13.3,14.1,0.4,502
業種別,材料・部品[非金属] ,20,18.1,9.6,19.2,12.7,18.8,1.5,260
業種別,材料・部品[金属] ,26.2,23.8,18.6,17,7.4,6.6,0.4,542
業種別,一般・精密機械,25.2,21.2,16.2,12.9,9.6,13.4,1.4,425
業種別,電機・電子,25.7,27.3,11.8,9.6,9.1,16.6,0,187
業種別,その他,22.4,21.8,17.6,12.4,11.8,12.4,1.8,170
従業者規模別,1～3人,37.5,28.3,19,9.4,3.5,1.8,0.5,1155
従業者規模別,4～9人,15.7,19.6,19.7,22.5,13.3,8.4,0.7,675
従業者規模別,10～20人,8.6,12.3,18.5,23.6,13,21.9,2.1,292
従業者規模別,21～50人,5.6,10.6,11.1,13.9,23.1,34.7,0.9,216
従業者規模別,51～99人,5.2,2.6,6.5,15.6,15.6,54.5,0,77
従業者規模別,100人以上,0,5.4,7.1,7.1,17.9,60.7,1.8,56
地域別,都心,11.6,16.2,13.3,14.5,17.3,23.7,3.5,173
地域別,副都心,19.6,22.6,19,9.5,11.9,16.7,0.6,168
地域別,城東都心近接,22.9,21.5,19.1,16.9,9.1,10.5,0,419
地域別,城東周辺,29.6,22.4,16.7,14.7,8.2,7.7,0.8,612
地域別,城西,20,18.7,21.9,17.4,5.8,16.1,0,155
地域別,城南,23.2,23.2,14.9,12.8,9.7,14.4,1.8,383
地域別,城北,22.7,18.8,22.2,16.5,9.7,10.2,0,176
地域別,多摩,24.5,21.5,18.6,15.4,9.8,10,0.2,441
売上高増減別(感染症発生前後),増加,12.3,12.8,17.3,19,14,24,0.6,179
売上高増減別(感染症発生前後),横ばい,27.5,20.4,18.7,11.2,9.2,12.1,0.9,455
売上高増減別(感染症発生前後),減少,24,22.2,17.8,15.3,9.2,10.9,0.6,1852
