,,増加,増加,,減少,減少,,,
,,大幅(20％以上)増加(%) ,やや(20％未満)増加(%) ,ほぼ横ばい(±5％未満)(%) ,やや(20％未満)減少(%) ,大幅(20％以上)減少(%) ,3年前は系列取引をしていない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,1.4,7,38.6,20,29,0.5,3.4,414
業種別,食品・飲料,0,5.6,33.3,27.8,27.8,0,5.6,18
業種別,衣料・身の回り品,0,0,34.1,9.8,46.3,0,9.8,41
業種別,住宅・建物,0,7.1,14.3,50,28.6,0,0,14
業種別,紙・印刷,4.5,12.1,37.9,16.7,27.3,0,1.5,66
業種別,材料・部品[非金属] ,4,6,52,16,18,2,2,50
業種別,材料・部品[金属] ,0,7,37.2,18.6,32.6,0,4.7,86
業種別,一般・精密機械,1.2,7.4,34.6,24.7,29.6,0,2.5,81
業種別,電機・電子,0,8.6,54.3,20,14.3,0,2.9,35
業種別,その他,0,5.3,31.6,15.8,42.1,5.3,0,19
従業者規模別,1～3人,0.6,3,34.9,21.7,34.3,0.6,4.8,166
従業者規模別,4～9人,0,6.9,40.5,17.2,32.8,0,2.6,116
従業者規模別,10～20人,1.9,9.3,42.6,16.7,25.9,1.9,1.9,54
従業者規模別,21～50人,7,9.3,46.5,23.3,14,0,0,43
従業者規模別,51～99人,0,13.3,33.3,40,13.3,0,0,15
従業者規模別,100人以上,0,33.3,41.7,16.7,0,0,8.3,12
年間売上高に占める系列取引の割合別,20％未満,1.5,4.5,41.8,16.4,29.9,3,3,67
年間売上高に占める系列取引の割合別,20～40％未満,1.4,9.7,37.5,26.4,23.6,0,1.4,72
年間売上高に占める系列取引の割合別,40～60％未満,3.3,8.2,41,16.4,27.9,0,3.3,61
年間売上高に占める系列取引の割合別,60～80％未満,0,10.7,39.3,32.1,16.1,0,1.8,56
年間売上高に占める系列取引の割合別,80％以上,1.5,3.7,38.2,16.2,36,0,4.4,136
