,,経営の先行き不安、経営悪化の回避(%) ,主要顧客との契約終了(%) ,経営者の高年齢化(%) ,経営者の健康面(気力・体力)の不安(%) ,経営者の家族の問題(%) ,後継者の不在(%) ,その他(%) ,無回答(%) ,n(件) 
,今回調査（全体）,17.3,0.4,36.9,4.9,0.2,24.9,2.9,12.4,445
,前回調査,17.4,0.2,35.3,6.1,0.4,24.4,1.8,14.5,558
業種別,食品・飲料,22.2,0,44.4,11.1,0,22.2,0,0,9
業種別,衣料・身の回り品,17.9,0,46.4,3.6,0,21.4,1.8,8.9,56
業種別,住宅・建物,25,0,53.6,3.6,0,3.6,0,14.3,28
業種別,紙・印刷,25.8,1.1,31.2,4.3,0,21.5,2.2,14,93
業種別,材料・部品[非金属] ,10,0,36.7,3.3,0,36.7,0,13.3,30
業種別,材料・部品[金属] ,7.1,0.9,34.8,8,0,30.4,2.7,16.1,112
業種別,一般・精密機械,23.2,0,29,2.9,0,29,5.8,10.1,69
業種別,電機・電子,13.6,0,27.3,4.5,4.5,22.7,9.1,18.2,22
業種別,その他,16,0,52,4,0,24,4,0,25
従業者規模別,1～3人,15.6,0.5,40.4,4.9,0.3,24,3,11.3,371
従業者規模別,4～9人,25.9,0,20.4,5.6,0,31.5,1.9,14.8,54
従業者規模別,10～20人,50,0,0,0,0,25,0,25,4
従業者規模別,21～50人,0,0,0,0,0,100,0,0,2
創業時期別,1950年以前,15.8,0,33.3,5.3,0,29.8,1.8,14,57
創業時期別,1951～1960年,17.9,0,28.6,1.8,0,35.7,3.6,12.5,56
創業時期別,1961～1970年,21.2,1.2,40,8.2,0,20,1.2,8.2,85
創業時期別,1971～1980年,10.3,0,46.2,5.1,0,26.9,2.6,9,78
創業時期別,1981～1990年,14.1,0,42.2,1.6,0,23.4,1.6,17.2,64
創業時期別,1991～2000年,20.5,0,38.5,0,0,15.4,12.8,12.8,39
創業時期別,2001～2010年,13.3,0,26.7,6.7,6.7,33.3,6.7,6.7,15
創業時期別,2011年以降,33.3,0,22.2,0,0,22.2,0,22.2,9
経営者年齢別,50歳未満,33.3,0,0,0,11.1,33.3,11.1,11.1,9
経営者年齢別,50歳代,29.7,3.1,9.4,4.7,0,40.6,3.1,9.4,64
経営者年齢別,60歳代,22.5,0,24.5,6.9,0,25.5,3.9,16.7,102
経営者年齢別,70歳以上,12,0,49.6,4.1,0,21.1,2.3,10.9,266
