,,従業員を雇用している(%) ,家族従業員のみ(%) ,従業員は雇用していない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,55.3,25.8,17.9,1,2527
,前回調査,52,26,16.1,5.9,2552
業種別,食品・飲料,72.2,21.5,6.3,0,79
業種別,衣料・身の回り品,40.7,32.3,25.2,1.8,226
業種別,住宅・建物,36.9,31.1,31.1,0.8,122
業種別,紙・印刷,60,24.1,14.9,1,502
業種別,材料・部品[非金属] ,65.4,22.3,11.2,1.2,260
業種別,材料・部品[金属] ,49.1,28.6,21.4,0.9,542
業種別,一般・精密機械,62.8,21.4,15.3,0.5,425
業種別,電機・電子,66.3,19.8,11.8,2.1,187
業種別,その他,39.4,34.1,25.9,0.6,170
従業者規模別,1～3人,16.2,46.1,35.8,2,1155
従業者規模別,4～9人,81.5,15.9,2.4,0.3,675
従業者規模別,10～20人,99.7,0.3,0,0,292
従業者規模別,21～50人,99.1,0.5,0.5,0,216
従業者規模別,51～99人,100,0,0,0,77
従業者規模別,100人以上,100,0,0,0,56
地域別,都心,79.2,9.2,9.8,1.7,173
地域別,副都心,60.7,20.8,16.1,2.4,168
地域別,城東都心近接,45.8,32.5,20.3,1.4,419
地域別,城東周辺,46.9,29.1,23.5,0.5,612
地域別,城西,51.6,25.8,22.6,0,155
地域別,城南,57.7,27.2,13.8,1.3,383
地域別,城北,55.7,27.8,16.5,0,176
地域別,多摩,63.7,21.1,14.3,0.9,441
