,,親会社がある(%) ,親会社はない(%) ,無回答(%) ,n(件)
,今回調査（全体）,9.1,90.3,0.6,2527
,前回調査,11.8,86.3,1.9,2552
業種別,食品・飲料,13.9,83.5,2.5,79
業種別,衣料・身の回り品,5.8,92.9,1.3,226
業種別,住宅・建物,4.1,94.3,1.6,122
業種別,紙・印刷,5.4,94.4,0.2,502
業種別,材料・部品[非金属] ,11.9,88.1,0,260
業種別,材料・部品[金属] ,12.2,87.6,0.2,542
業種別,一般・精密機械,13.2,86.6,0.2,425
業種別,電機・電子,8.6,90.9,0.5,187
業種別,その他,3.5,96.5,0,170
従業者規模別,1～3人,7.5,91.9,0.6,1155
従業者規模別,4～9人,5.5,93.8,0.7,675
従業者規模別,10～20人,9.6,89.7,0.7,292
従業者規模別,21～50人,18.5,81.5,0,216
従業者規模別,51～99人,20.8,79.2,0,77
従業者規模別,100人以上,26.8,73.2,0,56
