,,実施しても効率化・合理化する見込みが低い(%),費用が高く採算に合わない(%),受注が見込めない(%),助成金・補助金が獲得できない(%),資金が不足(%),対応できる技術・知識をもった人材の不足(%),従業員の協力が得られない(%),取組方法がわからない(%),必要性を感じていない(%),その他(%),無回答(%),n(件)
,今回調査（全体）,17.6,11.7,20.9,2.8,14,7.1,0.9,6.3,53.2,5.7,4.1,1037
業種別,食品・飲料,15,25,15,0,20,0,0,0,55,5,0,20
業種別,衣料・身の回り品,23.7,5.1,22.9,2.5,11.9,5.1,0.8,7.6,54.2,5.9,5.9,118
業種別,住宅・建物,16.4,6.6,18,8.2,9.8,4.9,0,8.2,57.4,3.3,1.6,61
業種別,紙・印刷,16.6,14.7,26.3,2.8,14.3,6.5,0.9,4.6,47.5,5.1,5.5,217
業種別,材料・部品[非金属] ,24.2,18.9,16.8,4.2,14.7,7.4,1.1,7.4,49.5,5.3,0,95
業種別,材料・部品[金属] ,14.2,8.5,15.4,2.4,12.6,5.3,0.4,5.7,61.1,4.5,6.1,247
業種別,一般・精密機械,16.5,13.5,22.6,3,18,12.8,1.5,5.3,45.1,6,5.3,133
業種別,電機・電子,16.9,9.2,20,0,13.8,7.7,3.1,6.2,61.5,7.7,1.5,65
業種別,その他,17.3,12,26.7,1.3,13.3,9.3,0,12,50.7,12,0,75
従業者規模別,1～3人,16.7,11.7,24.4,2.6,13.5,5.3,0.1,5.9,55.4,6.1,3.9,717
従業者規模別,4～9人,21.1,9.3,11.9,2.6,15,13.2,0.9,7.5,48.5,4.8,4.8,227
従業者規模別,10～20人,21.3,19.1,17,4.3,14.9,10.6,4.3,8.5,46.8,4.3,0,47
従業者規模別,21～50人,12.5,18.8,18.8,0,6.3,0,12.5,6.3,31.3,6.3,6.3,16
従業者規模別,51～99人,25,0,0,25,0,0,25,25,25,0,25,4
従業者規模別,100人以上,0,0,0,0,0,0,0,0,100,0,0,1
売上高増減別(感染症発生前後),増加,15,7.5,10,2.5,5,15,2.5,5,55,12.5,2.5,40
売上高増減別(感染症発生前後),横ばい,12.8,9.3,15.1,1.2,9.3,5.2,1.2,7.6,57,5.2,4.7,172
売上高増減別(感染症発生前後),減少,18.9,12.4,22.9,3.2,15.6,7.2,0.7,6.1,52.4,5.3,4.1,808
