,,,二代目以降 ,二代目以降 ,二代目以降 ,二代目以降 ,,
,,創業者(%)          ,創業者親族出身(二代目以降)(%)    ,従業員出身(二代目以降)(%) ,社外からの就任(二代目以降)(%) ,その他(二代目以降)(%) ,無回答(%) ,n(件)
,今回調査（全体）,30.6,58.8,6.1,2.2,1.3,0.9,2527
,前回調査,30.4,58,6,2,1.2,2.4,2552
業種別,食品・飲料,16.5,69.6,7.6,2.5,2.5,1.3,79
業種別,衣料・身の回り品,45.6,49.1,2.7,1.3,1.3,0,226
業種別,住宅・建物,28.7,67.2,1.6,0,1.6,0.8,122
業種別,紙・印刷,29.3,59.8,5.8,3.2,1,1,502
業種別,材料・部品[非金属] ,27.3,58.1,6.9,5,2.3,0.4,260
業種別,材料・部品[金属] ,23.2,68.3,5.4,1.1,1.1,0.9,542
業種別,一般・精密機械,30.6,57.2,8,2.4,1.2,0.7,425
業種別,電機・電子,42.2,42.8,10.7,2.1,0.5,1.6,187
業種別,その他,38.2,52.4,5.9,0.6,1.2,1.8,170
従業者規模別,1～3人,38.8,54.9,3.3,0.2,1.6,1.3,1155
従業者規模別,4～9人,28.1,63.3,5.8,1.9,0.4,0.4,675
従業者規模別,10～20人,25,63.7,6.2,3.8,1,0.3,292
従業者規模別,21～50人,15.3,58.8,16.7,6,1.9,1.4,216
従業者規模別,51～99人,7.8,64.9,11.7,11.7,3.9,0,77
従業者規模別,100人以上,7.1,58.9,19.6,14.3,0,0,56
創業時期別,1950年以前,3.1,87.6,5.3,3.4,0.6,0,322
創業時期別,1951～1960年,4.6,88.7,3.8,1.7,0.3,0.9,345
創業時期別,1961～1970年,16.6,73.2,5.9,2.8,0.4,1.1,459
創業時期別,1971～1980年,31.7,55.7,8.2,2.2,1,1.2,404
創業時期別,1981～1990年,47.9,41.7,8,0.9,0.9,0.6,338
創業時期別,1991～2000年,59.7,28.1,6.3,1.4,2.3,2.3,221
創業時期別,2001～2010年,67.1,20,5.3,4.1,2.9,0.6,170
創業時期別,2011年以降,71.3,17.4,6.1,1.7,2.6,0.9,115
