年度,2009年度(%),2010年度(%),2011年度(%),2012年度(%),2013年度(%),2014年度(%),2015年度(%),2016年度(%),2017年度(%),2018年度(%)
1.農林水産業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.鉱業,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3.製造業,9.4,8.5,8.8,8.7,8.5,8.9,8.9,8.8,8.8,8.6
4.電気・ガス・水道・廃棄物処理業,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6
5.建設業,4.5,4.9,4.6,4.6,4.7,4.8,4.9,5.4,5.9,5.8
6.卸売・小売業,21.3,21.6,22.6,22.4,21.9,20.1,21.0,20.6,20.3,20.3
7.運輸・郵便業,4.6,4.5,4.4,4.6,4.5,4.7,4.7,4.6,4.7,4.7
8.宿泊・飲食サービス業,2.3,2.5,2.4,2.3,2.3,2.4,2.3,2.3,2.3,2.2
9.情報通信業,10.2,9.9,9.8,10.1,10.2,10.5,10.4,10.4,10.2,10.3
10.金融・保険業,9.3,9.0,8.4,8.2,8.3,8.3,8.2,7.9,8.1,8.2
11.不動産業,11.1,11.3,11.3,11.3,11.2,11.2,11.0,11.3,11.3,11.3
12.専門・科学技術、業務支援サービス業,10.0,10.5,10.7,10.6,11.0,11.3,11.2,11.3,11.2,11.2
13.公務,4.4,3.9,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.8
14.教育,2.9,2.9,2.9,2.9,2.9,3.0,2.9,2.9,2.9,2.9
15.保健衛生・社会事業,3.8,4.1,4.1,4.3,4.4,4.4,4.5,4.6,4.6,4.7
16.その他のサービス,4.1,4.5,4.6,4.6,4.6,4.6,4.4,4.2,4.2,4.2
小計,99.8,99.8,99.9,99.8,99.8,99.7,99.8,99.9,99.9,99.9
輸入品に課される税・関税,0.5,0.5,0.5,0.5,0.6,0.8,0.8,0.8,0.8,0.8
(控除)総資本形成に係る消費税,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.7
都内総生産,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
