年度,2010年度(%),2011年度(%),2012年度(%),2013年度(%),2014年度(%),2015年度(%),2016年度(%),2017年度(%),2018年度(%),2019年度(%),2020年度(%)
1.農林水産業,1.1,1.1,1.1,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.0
2.鉱業,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3.製造業,20.8,19.5,19.7,19.3,19.6,20.5,20.3,20.4,20.6,20.1,19.7
4.電気・ガス・水道・廃棄物処理業,2.9,2.4,2.1,2.3,2.6,2.9,2.9,2.9,2.9,3.0,3.3
5.建設業,4.6,4.7,4.7,5.0,5.1,5.2,5.4,5.4,5.4,5.5,5.9
6.卸売・小売業,13.4,13.8,14.0,14.0,13.4,13.0,12.9,13.0,12.7,12.4,12.6
7.運輸・郵便業,5.1,5.0,5.2,5.2,5.4,5.3,5.2,5.3,5.3,5.3,4.3
8.宿泊・飲食サービス業,2.6,2.5,2.4,2.5,2.5,2.4,2.6,2.6,2.6,2.5,1.8
9.情報通信業,5.0,5.0,5.0,5.0,4.9,4.9,5.0,4.8,4.9,4.8,5.1
10.金融・保険業,4.8,4.7,4.5,4.6,4.4,4.3,4.1,4.0,4.1,4.0,4.3
11.不動産業,12.3,12.5,12.5,12.4,12.3,12.0,11.9,11.8,11.7,11.8,12.2
12.専門・科学技術、業務支援サービス業,7.2,7.5,7.5,7.7,7.8,7.8,8.0,8.0,8.1,8.3,8.4
13.公務,5.1,5.2,5.1,5.0,5.0,4.9,4.9,4.9,4.9,5.0,5.2
14.教育,3.7,3.8,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.6
15.保健衛生・社会事業,6.7,6.9,7.2,7.3,7.3,7.4,7.7,7.6,7.7,7.8,8.2
16.その他のサービス,4.6,4.6,4.6,4.4,4.3,4.2,4.1,4.1,4.0,4.0,3.7
小計,100.0,99.5,99.4,99.3,99.2,99.4,99.6,99.5,99.5,99.1,99.5
輸入品に課される税・関税,1.0,1.2,1.2,1.3,1.8,1.7,1.5,1.6,1.8,1.7,1.8
(控除)総資本形成に係る消費税,0.6,0.7,0.7,0.7,1.0,1.1,1.1,1.2,1.2,1.3,1.4
統計上の不突合,-0.4,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.5,0.2
国内総生産,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
