,,施設の老朽化(%) ,施設や敷地が手狭(%) ,操業規制(音・臭い等)がある(%) ,近隣住民の対応(%) ,再開発などで立ち退きの可能性がある(%) ,余剰資産がある(%) ,賃料負担が重い(%) ,産業集積が薄れた(%) ,その他(%) ,特になし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,36.2,19.8,8.4,11.1,1.9,0.6,14.6,2.7,1.5,37.9,1.8,2527
,前回調査,31.3,18.4,7.1,11.2,1.6,0.4,9.9,2.9,1.1,43.6,6.3,2552
業種別,食品・飲料,41.8,22.8,6.3,10.1,2.5,0,22.8,1.3,2.5,32.9,0,79
業種別,衣料・身の回り品,31.4,12.4,4.4,4,2.7,0.4,13.7,2.7,1.3,45.6,2.7,226
業種別,住宅・建物,33.6,23,7.4,18,0,0.8,7.4,3.3,0,40.2,1.6,122
業種別,紙・印刷,34.9,17.1,6,9.8,2.6,0.6,18.3,2,1.2,39.2,1.4,502
業種別,材料・部品[非金属] ,35.8,17.7,8.5,10.8,2.7,0,9.6,1.2,1.2,43.5,1.9,260
業種別,材料・部品[金属] ,42.3,21.4,14.9,16.1,2,0.9,11.3,3.3,2.2,33.2,1.5,542
業種別,一般・精密機械,36.2,25.9,7.1,12.7,0.9,0.9,16.9,5.2,1.9,31.8,1.9,425
業種別,電機・電子,34.8,20.9,3.2,2.7,1.1,1.1,13.4,0.5,1.6,40.6,3.7,187
業種別,その他,30.6,15.9,11.2,9.4,2.4,0,20.6,1.8,0,40.6,1.8,170
従業者規模別,1～3人,33.8,11.9,6.8,9.7,1.8,0.4,11.6,1.6,0.9,44.2,2.5,1155
従業者規模別,4～9人,39.1,21.6,10.8,11.3,1.2,0.3,17.2,3.9,1.6,33.8,1.5,675
従業者規模別,10～20人,39.4,30.1,10.6,15.1,2.1,0.7,21.2,1.7,2.7,27.7,1,292
従業者規模別,21～50人,34.7,33.8,8.3,11.6,3.2,1.4,14.4,2.8,3.2,31.9,1.4,216
従業者規模別,51～99人,46.8,29.9,9.1,14.3,3.9,1.3,16.9,7.8,0,28.6,0,77
従業者規模別,100人以上,33.9,30.4,7.1,12.5,0,5.4,17.9,5.4,0,33.9,0,56
地域別,都心,24.9,13.9,5.2,4,8.1,0.6,34.7,3.5,0.6,39.3,0.6,173
地域別,副都心,33.3,23.8,7.1,8.9,1.8,0.6,17.9,4.8,0.6,35.7,1.8,168
地域別,城東都心近接,35.3,18.1,8.1,9.1,1.4,0.5,13.6,3.3,1,39.1,2.1,419
地域別,城東周辺,36.9,18.5,9.2,14.9,2.1,0.5,9,2.5,2.3,40.4,1.8,612
地域別,城西,35.5,19.4,7.1,8.4,1.3,0.6,14.2,0.6,0.6,42.6,1.9,155
地域別,城南,39.9,21.9,10.2,9.7,0.8,0.8,14.4,3.9,1.8,33.4,2.3,383
地域別,城北,43.8,21.6,10.8,14.2,1.1,0.6,14.8,1.7,1.7,34.7,0.6,176
地域別,多摩,35.8,21.5,7.5,12.2,1.4,0.9,14.5,1.4,1.4,37,2,441
売上高増減別(感染症発生前後),増加,35.2,33,13.4,11.2,1.1,0,13.4,3.4,1.1,33,2.2,179
売上高増減別(感染症発生前後),横ばい,33.8,22.2,8.6,11.4,1.3,0.7,14.1,2.4,1.3,37.6,1.8,455
売上高増減別(感染症発生前後),減少,37,17.9,7.9,11.1,2.2,0.7,14.8,2.8,1.6,38.3,1.8,1852
