,,規模の拡大(%),利益の拡大(%),知名度の向上(%),技術の向上・革新・継承(%),地域や社会への貢献(%),業界の発展(%),持続的経営(%),雇用の維持(%),従業員の成長・幸福(%),企業理念等の実現(%),その他(%),無回答(%),n(件)
,今回調査（全体）,6.5,48.6,8.2,40.7,15.1,11.5,67.7,37.3,35.8,7.4,3.6,2,2527
,前回調査,5.1,43.5,6.7,33.1,14.3,11.6,54.1,27.6,35.8,6.8,4.2,11.1,2552
業種別,食品・飲料,11.4,58.2,17.7,27.8,29.1,11.4,74.7,40.5,38,13.9,1.3,2.5,79
業種別,衣料・身の回り品,3.1,42,8.8,34.5,11.5,15.9,64.6,28.3,27,5.8,5.8,3.5,226
業種別,住宅・建物,4.9,48.4,8.2,29.5,15.6,14.8,67.2,22.1,21.3,4.1,1.6,3.3,122
業種別,紙・印刷,6.6,52.2,6,30.1,14.1,11,67.3,41,35.3,7.4,5,2.2,502
業種別,材料・部品[非金属] ,6.9,50,9.2,45.4,16.2,8.8,74.6,43.1,41.5,11.2,2.3,1.2,260
業種別,材料・部品[金属] ,4.2,45.6,5.7,41.7,12.5,9.6,66.1,36,34.7,3,3.7,2,542
業種別,一般・精密機械,8.9,51.5,8,54.6,18.1,14.4,67.1,40.2,40,10.8,2.6,0.9,425
業種別,電機・電子,10.7,47.1,11.2,46.5,12.3,4.3,71.1,46.5,42.2,7,3.7,2.1,187
業種別,その他,5.3,44.7,14.1,44.1,18.8,17.1,62.9,24.7,35.3,9.4,4.1,1.2,170
従業者規模別,1～3人,2.9,36.1,5.4,27.4,8.7,10.2,60.5,13.7,13.9,2.3,6.4,3.3,1155
従業者規模別,4～9人,6.8,51.9,8.4,44.9,12.9,10.5,73,53.2,46.7,5,0.9,0.9,675
従業者規模別,10～20人,8.9,62.3,12.7,55.5,25,14.7,76,63.7,61.6,13.7,1.4,0.3,292
従業者規模別,21～50人,13.4,69.9,13.4,66.2,30.6,16.7,74.5,64.4,69.9,19.4,1.9,0,216
従業者規模別,51～99人,15.6,79.2,15.6,66.2,33.8,13,81.8,70.1,64.9,27.3,0,0,77
従業者規模別,100人以上,16.1,75,8.9,60.7,33.9,5.4,75,50,57.1,32.1,0,0,56
売上高経常利益率別,黒字(プラス),7.3,51.3,9,46.4,18.4,11,69,40.2,42.7,10.2,3.2,1.6,1260
売上高経常利益率別,赤字(マイナス),5.9,47.8,7.8,35.7,12.3,12.1,66.3,35.2,29.2,4.9,4.2,2.4,1147
売上高増減別(感染症発生前後),増加,10.6,60.9,15.1,59.2,24.6,16.2,72.6,50.3,54.7,11.7,1.7,0.6,179
売上高増減別(感染症発生前後),横ばい,7,43.3,8.6,42.4,16.5,7.7,65.3,37.1,37.1,8.4,5.1,1.5,455
売上高増減別(感染症発生前後),減少,5.9,48.7,7.3,38.4,13.7,11.7,68.3,35.8,33.7,6.6,3.5,2.2,1852
