,,増加,増加,,減少,減少,,
,,大幅(20％以上)増加(%) ,やや(20％未満)増加(%) ,ほぼ横ばい(±５％未満)(%) ,やや(20％未満)減少(%) ,大幅(20％以上)減少(%) ,無回答(%) ,n(件) 
,今回調査（全体）,4.1,7.2,20,25.6,42.2,0.8,2509
業種別,食品・飲料,2.6,14.1,11.5,21.8,50,0,78
業種別,衣料・身の回り品,4,3.1,12.9,23.2,56.7,0,224
業種別,住宅・建物,4.1,5.8,19,20.7,49.6,0.8,121
業種別,紙・印刷,1.8,3.8,18.8,28.7,45.7,1.2,499
業種別,材料・部品[非金属] ,4.7,11.2,23.3,32.2,28.7,0,258
業種別,材料・部品[金属] ,4.1,6.1,21.2,25,42.3,1.3,539
業種別,一般・精密機械,7.3,10.2,24.2,21.1,37,0.2,422
業種別,電機・電子,3.7,10.7,27.8,28.3,27.8,1.6,187
業種別,その他,4.2,6.6,10.8,24.6,53.9,0,167
従業者規模別,1～3人,3,3.9,18.4,23,51.2,0.5,1143
従業者規模別,4～9人,3.6,8.3,19.3,25.5,42.1,1.2,674
従業者規模別,10～20人,6.6,9,21,29.7,32.8,1,290
従業者規模別,21～50人,7.4,14,24.7,28.8,24.7,0.5,215
従業者規模別,51～99人,6.5,11.7,32.5,35.1,14.3,0,77
従業者規模別,100人以上,5.6,20.4,29.6,27.8,16.7,0,54
地域別,都心,5.4,9.5,22,23.2,39.3,0.6,168
地域別,副都心,4.2,10.1,20.2,25.6,39.9,0,168
地域別,城東都心近接,3.4,4.8,15.6,24.3,51.7,0.2,416
地域別,城東周辺,3.8,5.9,20.5,26.2,42.6,1.1,611
地域別,城西,3.9,8.4,21.4,22.1,43.5,0.6,154
地域別,城南,2.9,6.8,24.7,24.5,40.5,0.5,380
地域別,城北,4,6.9,16.6,33.7,38.3,0.6,175
地域別,多摩,6.2,9.2,19.7,25.9,37.5,1.6,437
年間売上高別,500万円未満,3.2,0.5,11.7,15.5,68.3,0.8,375
年間売上高別,500万～１千万円未満,2.2,3.4,18.5,23,51.8,1.1,357
年間売上高別,１～３千万円未満,1.9,5.2,20.4,25.8,46.1,0.6,538
年間売上高別,３千万～１億円未満,4.1,8.6,18.6,31.7,36.8,0.2,511
年間売上高別,１～３億円未満,6.8,11.5,24.5,25.6,30.7,0.8,355
年間売上高別,３～10億円未満,8.2,14.2,24.7,30.1,22.4,0.5,219
年間売上高別,10～25億円未満,8.5,15.9,30.5,30.5,14.6,0,82
年間売上高別,25億円以上,6.8,15.3,33.9,32.2,11.9,0,59
業務展開の最も大きな変化別,変化はない,3.3,6.7,21.3,26.2,41.9,0.6,2093
業務展開の最も大きな変化別,現状の業務の周辺分野へ展開,10,12.8,16.1,23.9,36.7,0.6,180
業務展開の最も大きな変化別,最終製品の製造に着手,16,8,16,18,42,0,50
業務展開の最も大きな変化別,製造業から他業種(流通・ｻｰﾋﾞｽ業等)へ展開,8.8,11.8,20.6,20.6,38.2,0,34
業務展開の最も大きな変化別,その他,2.2,8.6,10.8,21.5,54.8,2.2,93
