,,改良した(%),現在改良中(%),改良していない(%),改良したいができない(%),改良していたが止めてしまった(%),無回答(%),n(件)
,今回調査（全体）,27.7,21.9,40.8,4.1,1.4,4.1,639
業種別,食品・飲料,14.6,22.9,56.3,2.1,4.2,0,48
業種別,衣料・身の回り品,28.3,25,35,5,3.3,3.3,60
業種別,住宅・建物,21.7,17.4,52.2,4.3,0,4.3,23
業種別,紙・印刷,9.3,35.2,44.4,7.4,1.9,1.9,54
業種別,材料・部品[非金属] ,22,17.6,53.8,0,0,6.6,91
業種別,材料・部品[金属] ,27.2,19.8,44.4,3.7,1.2,3.7,81
業種別,一般・精密機械,35.4,21.5,33.3,4.2,0.7,4.9,144
業種別,電機・電子,45.7,16,28.4,4.9,0,4.9,81
業種別,その他,21.8,25.5,38.2,7.3,3.6,3.6,55
従業者規模別,1～3人,23.1,15,50,4.4,0,7.5,160
従業者規模別,4～9人,29.7,19.8,37.9,4.9,3.3,4.4,182
従業者規模別,10～20人,25.9,23.2,41.1,5.4,0.9,3.6,112
従業者規模別,21～50人,25.3,29.3,39.4,3,1,2,99
従業者規模別,51～99人,32.6,37.2,30.2,0,0,0,43
従業者規模別,100人以上,41.9,25.8,29,3.2,0,0,31
売上高増減別(感染症発生前後),増加,34.1,17.6,40,3.5,0,4.7,85
売上高増減別(感染症発生前後),横ばい,31.5,16.2,44.6,2.3,0,5.4,130
売上高増減別(感染症発生前後),減少,25,24.3,40.1,4.8,2.2,3.6,416
