,,連携先が見つけられない(%)     ,対応できる人材が不足(%),情報や技術・ノウハウ流出の懸念(%),連携先との費用分担(%),知的財産権の取扱い(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,34.8,37.8,17.6,18.3,13.2,2.6,19.5,3.7,431
業種別,食品・飲料,27.8,38.9,16.7,16.7,11.1,0,33.3,0,18
業種別,衣料・身の回り品,37.5,37.5,21.9,9.4,9.4,3.1,21.9,3.1,32
業種別,住宅・建物,26.7,26.7,6.7,6.7,6.7,6.7,26.7,6.7,15
業種別,紙・印刷,44.9,39.1,11.6,17.4,11.6,2.9,10.1,4.3,69
業種別,材料・部品[非金属] ,36.7,34.7,16.3,14.3,16.3,0,24.5,6.1,49
業種別,材料・部品[金属] ,38.4,31.5,13.7,17.8,11,2.7,19.2,6.8,73
業種別,一般・精密機械,31.9,45.7,21.6,25.9,16.4,3.4,14.7,0.9,116
業種別,電機・電子,19.4,41.7,19.4,25,11.1,0,30.6,2.8,36
業種別,その他,38.1,23.8,33.3,4.8,14.3,4.8,28.6,0,21
従業者規模別,1～3人,34.3,26.3,19.2,17.2,9.1,6.1,17.2,7.1,99
従業者規模別,4～9人,40.4,41.2,21.1,19.3,11.4,1.8,17.5,1.8,114
従業者規模別,10～20人,34.2,46.8,17.7,22.8,19,1.3,12.7,3.8,79
従業者規模別,21～50人,35.1,36.4,11.7,15.6,14.3,0,24.7,5.2,77
従業者規模別,51～99人,14.3,39.3,17.9,3.6,14.3,7.1,28.6,0,28
従業者規模別,100人以上,25,41.7,12.5,29.2,12.5,0,37.5,0,24
創業時期別,1950年以前,24.7,39,18.2,16.9,18.2,5.2,20.8,6.5,77
創業時期別,1951～1960年,37.5,25,7.8,18.8,10.9,0,25,4.7,64
創業時期別,1961～1970年,36.2,49.3,24.6,21.7,13,2.9,17.4,2.9,69
創業時期別,1971～1980年,42.6,44.4,14.8,20.4,13,1.9,14.8,0,54
創業時期別,1981～1990年,29.4,43.1,11.8,15.7,11.8,2,23.5,2,51
創業時期別,1991～2000年,32.1,32.1,21.4,25,17.9,0,7.1,7.1,28
創業時期別,2001～2010年,45,22.5,12.5,12.5,10,5,25,5,40
創業時期別,2011年以降,35.3,38.2,26.5,17.6,8.8,2.9,20.6,2.9,34
経営者年齢別,50歳未満,31.4,38.2,16.7,19.6,13.7,1,23.5,2.9,102
経営者年齢別,50歳代,37,38.4,21,18.8,14.5,2.9,18.8,2.2,138
経営者年齢別,60歳代,34.4,35.4,16.7,18.8,12.5,4.2,17.7,6.3,96
経営者年齢別,70歳以上,33,38.5,15.4,16.5,12.1,2.2,18.7,4.4,91
