,,取り組んでいる(%),以前取り組んでいたが今は取り組んでいない(%),取り組んだことはない(%),無回答(%),n(件)
,今回調査（全体）,46.1,13.3,35.7,4.9,2527
,前回調査,40.4,12.3,37.1,10.2,2552
業種別,食品・飲料,58.2,15.2,24.1,2.5,79
業種別,衣料・身の回り品,32.7,18.1,42.5,6.6,226
業種別,住宅・建物,38.5,13.1,39.3,9,122
業種別,紙・印刷,42.4,12.5,40.2,4.8,502
業種別,材料・部品[非金属] ,53.5,10.8,31.5,4.2,260
業種別,材料・部品[金属] ,42.1,13.1,39.3,5.5,542
業種別,一般・精密機械,53.6,12,31.1,3.3,425
業種別,電機・電子,59.9,12.8,23,4.3,187
業種別,その他,41.2,15.9,37.6,5.3,170
従業者規模別,1～3人,21.4,14.6,57.2,6.8,1155
従業者規模別,4～9人,54.8,16.4,24.7,4,675
従業者規模別,10～20人,74.3,10.6,12,3.1,292
従業者規模別,21～50人,85.2,7.4,5.6,1.9,216
従業者規模別,51～99人,92.2,3.9,3.9,0,77
従業者規模別,100人以上,96.4,1.8,1.8,0,56
売上高増減別(感染症発生前後),増加,66.5,8.9,22.3,2.2,179
売上高増減別(感染症発生前後),横ばい,49.7,10.3,35.6,4.4,455
売上高増減別(感染症発生前後),減少,43.4,14.5,36.9,5.2,1852
