,,得意先(大企業)に近い(%) ,得意先(中小企業)に近い(%) ,部品・資材が調達しやすい(%) ,立地のブランド力がある(%) ,情報収集がしやすい(%) ,地域内分業が容易にできる(%) ,交通の利便性がある(%) ,優秀な人材を集めやすい(%) ,大きな消費地(マーケット)がある(%) ,大学や研究機関が多くある(%) ,その他(%) ,特になし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,20.4,48,33.2,5.9,16.9,10.2,44,4.4,6.7,1.7,0.8,16.3,0.9,2527
,前回調査,20.1,44.3,31.6,5,14.6,9.2,40.4,3.3,4.2,1.6,0.6,18.8,5.8,2552
業種別,食品・飲料,25.3,35.4,13.9,6.3,20.3,3.8,51.9,5.1,30.4,3.8,1.3,19,1.3,79
業種別,衣料・身の回り品,21.2,54.9,29.2,5.8,20.4,10.6,38.1,3.5,9.3,0,0.9,16.4,0.9,226
業種別,住宅・建物,15.6,51.6,31.1,6.6,10.7,3.3,42.6,2.5,4.1,0.8,0,23,0.8,122
業種別,紙・印刷,25.9,62.4,26.5,5.6,15.1,15.9,46.8,3.8,10.6,1,0.8,11.6,0.6,502
業種別,材料・部品[非金属] ,18.1,43.1,26.5,5.4,19.2,4.6,45.8,6.5,7.3,1.5,1.2,21.2,1.2,260
業種別,材料・部品[金属] ,16.1,49.3,38.6,3.3,12.4,10.3,37.8,2.2,2.6,0.7,0.7,17.7,1.1,542
業種別,一般・精密機械,18.4,40.2,40.5,8,20.2,12.7,46.4,5.6,2.6,4,0.7,15.5,0.7,425
業種別,電機・電子,30.5,32.1,34.8,2.7,21.9,4.3,45.5,9.1,1.1,4.3,0,18.2,1.6,187
業種別,その他,15.3,39.4,41.2,14.1,17.1,8.2,50.6,4.1,12.4,1.2,1.8,13.5,0.6,170
従業者規模別,1～3人,10.5,52.1,32.7,3.9,8.7,8.7,33.4,0.3,3.9,0.8,0.8,19.9,1.1,1155
従業者規模別,4～9人,21,49.3,37,5.5,17.6,12.7,48.6,3,7,1.2,0.4,14.7,0.9,675
従業者規模別,10～20人,30.8,42.8,34.2,10.6,26,12.7,55.8,8.6,10.6,4.5,1.7,13.7,0,292
従業者規模別,21～50人,39.4,39.8,29.6,10.6,33.3,10.2,56.9,15.3,10.6,4.6,0.9,9.7,0.9,216
従業者規模別,51～99人,49.4,33.8,22.1,10.4,35.1,7.8,66.2,18.2,11.7,2.6,0,13,0,77
従業者規模別,100人以上,55.4,25,19.6,8.9,42.9,3.6,69.6,25,16.1,1.8,1.8,5.4,0,56
地域別,都心,38.7,38.7,15.6,17.3,35.3,8.1,65.9,11,13.3,1.7,2.3,9.8,0,173
地域別,副都心,31.5,54.8,24.4,13.7,22.6,7.7,53,7.7,12.5,1.8,1.8,6.5,0.6,168
地域別,城東都心近接,17.9,61.1,37.5,5.3,18.6,13.4,40.8,3.3,7.2,0.7,0.5,10.7,0.5,419
地域別,城東周辺,15.7,50.8,37.3,2.3,13.2,10,37.3,2,6,0.5,0.3,19.1,1,612
地域別,城西,18.7,40,33.5,3.9,17.4,3.9,54.8,0.6,7.7,3.2,1.3,18.1,0,155
地域別,城南,18,44.9,44.6,10.7,17.2,14.9,48.8,5,3.1,2.1,0.5,12,2.1,383
地域別,城北,19.9,51.7,27.3,1.7,11.4,9.7,45.5,5.7,6.3,1.7,0.6,18.8,0.6,176
地域別,多摩,20.9,36.7,25.9,2.3,12.9,7.5,35.6,5.2,5.4,3.6,0.9,26.3,1.1,441
