,,適切な候補者の不在(%) ,後継者の教育・成長(%) ,業績不振(%) ,借入金の返済(%) ,個人保証の問題(%) ,後継者への自社株式の集中(%) ,事業承継の社内体制が未整備(%) ,相続税・贈与税の問題(%) ,相談相手の不在(%) ,業界の将来性への不安(%) ,その他(%) ,特になし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,24.4,23.1,28.7,17.6,8,3.6,8.7,7.6,3.3,35.4,1.2,16.2,5.4,2527
,前回調査,21.2,22.8,21.9,15.2,6.7,3.1,8.2,8.2,2.4,34.8,1.6,14.5,10,2552
業種別,食品・飲料,17.7,25.3,26.6,15.2,10.1,1.3,12.7,11.4,1.3,35.4,0,16.5,3.8,79
業種別,衣料・身の回り品,21.7,13.3,40.3,19.5,8.4,1.3,3.5,5.3,2.7,44.7,1.3,15.5,3.5,226
業種別,住宅・建物,25.4,15.6,30.3,16.4,4.1,0.8,6.6,5.7,1.6,36.1,2.5,17.2,6.6,122
業種別,紙・印刷,24.3,17.9,37.1,20.7,8,2.4,6.6,4.8,3.8,46.2,0.2,13.3,4.2,502
業種別,材料・部品[非金属] ,21.5,21.5,22.7,15,6.5,5.4,6.9,8.8,1.9,32.7,1.9,21.9,5.4,260
業種別,材料・部品[金属] ,25.5,22.5,27.3,15.7,5.9,3.5,9.4,8.3,4.1,33.4,1.8,18.1,6.8,542
業種別,一般・精密機械,28.2,32.7,20.9,20.9,12.9,5.6,12.2,11.1,3.5,25.9,0.9,13.2,6.6,425
業種別,電機・電子,24.1,34.8,15.5,13.4,8,6.4,15,6.4,4.3,23.5,0.5,20.9,3.7,187
業種別,その他,22.9,21.8,37.6,14.7,6.5,2.4,7.1,7.1,3.5,38.8,1.8,12.9,4.7,170
従業者規模別,1～3人,23.9,11.3,35.4,12.6,2.3,0.3,4.2,3.4,2.9,37.2,1.6,17.7,7.5,1155
従業者規模別,4～9人,28.4,27,27.7,23.3,9.6,2.4,11,7,3,41,1.2,10.8,4.1,675
従業者規模別,10～20人,29.1,40.8,24.7,28.1,19.9,9.2,17.5,14.7,6.5,34.9,0.7,12.3,2.4,292
従業者規模別,21～50人,16.2,41.7,13.4,19.4,18.1,12.5,14.4,17.6,3.2,22.2,0.5,20.4,2.3,216
従業者規模別,51～99人,18.2,37.7,3.9,6.5,7.8,9.1,10.4,11.7,3.9,23.4,1.3,29.9,1.3,77
従業者規模別,100人以上,5.4,37.5,10.7,17.9,10.7,12.5,8.9,14.3,1.8,19.6,1.8,28.6,3.6,56
創業時期別,1950年以前,26.4,29.5,27.6,15.8,9.3,7.1,9,14.9,3.4,37.6,0.9,12.7,5.6,322
創業時期別,1951～1960年,22.6,22.6,31.6,19.1,9,5.2,7,12.5,3.2,36.5,1.2,16.8,6.1,345
創業時期別,1961～1970年,23.7,20.7,30.5,20.5,9.2,4.1,9.2,7.6,3.9,39.4,1.1,12.9,5.4,459
創業時期別,1971～1980年,24,23,27.2,14.6,6.2,2.5,10.6,6.2,5,30.4,1.2,19.6,5.7,404
創業時期別,1981～1990年,25.7,21,27.2,24,8.6,3,7.7,5.6,3.3,36.4,1.2,15.7,4.1,338
創業時期別,1991～2000年,23.5,25.3,26.2,17.6,8.1,1.4,9.5,3.2,1.8,29.4,1.8,15.8,6.3,221
創業時期別,2001～2010年,31.2,25.3,33.5,20.6,7.6,2.9,10,4.1,2.4,37.1,0.6,16.5,2.9,170
創業時期別,2011年以降,20,23.5,22.6,8.7,7.8,0.9,7.8,2.6,1.7,32.2,0,24.3,1.7,115
経営者年齢別,50歳未満,25.6,28.6,15.5,12.8,8.3,5.7,7.4,11.6,5.1,37.2,0.9,20.5,3.9,336
経営者年齢別,50歳代,30,27.6,31.3,18.3,8.9,4.9,11.3,8.4,2.7,45.1,1.6,12.9,2.5,630
経営者年齢別,60歳代,26,24.6,29.9,20.3,9.2,3.1,8.8,5.8,2.6,33.9,0.8,15.6,4.5,622
経営者年齢別,70歳以上,19.3,16.6,31.1,17.6,6.6,2.3,7.5,6.9,3.6,29.7,1.4,17.2,8.3,916
事業継続の意向別,事業を続けたい,19.1,32.4,22.6,20.9,11.4,5.9,9.8,10.6,3.9,32.1,0.9,16.5,3.6,1380
事業継続の意向別,わからない・まだ決めていない,32.1,16.1,38.8,18.3,5.6,1.2,9.8,5.6,3.1,44.5,1.2,13,4.2,683
事業継続の意向別,廃業の予定,29.4,4.7,32.1,5.8,1.3,0,4,1.1,2,32.6,2.2,19.6,12.4,445
