,,事業を続けたい(%) ,わからない・まだ決めていない(%) ,廃業の予定(%) ,無回答(%) ,n(件)
,今回調査（全体）,54.6,27,17.6,0.8,2527
,前回調査,51.2,25.3,21.9,1.7,2552
業種別,食品・飲料,67.1,20.3,11.4,1.3,79
業種別,衣料・身の回り品,43.8,30.1,24.8,1.3,226
業種別,住宅・建物,49.2,27.9,23,0,122
業種別,紙・印刷,53.8,27.3,18.5,0.4,502
業種別,材料・部品[非金属] ,63.1,24.2,11.5,1.2,260
業種別,材料・部品[金属] ,50.6,28.4,20.7,0.4,542
業種別,一般・精密機械,58.1,24.5,16.2,1.2,425
業種別,電機・電子,62.6,25.7,11.8,0,187
業種別,その他,51.8,33.5,14.7,0,170
従業者規模別,1～3人,33.9,33.3,32.1,0.6,1155
従業者規模別,4～9人,60.7,30.4,8,0.9,675
従業者規模別,10～20人,76,20.9,1.4,1.7,292
従業者規模別,21～50人,94.9,4.2,0.9,0,216
従業者規模別,51～99人,93.5,6.5,0,0,77
従業者規模別,100人以上,92.9,5.4,0,1.8,56
経営者年齢別,50歳未満,75.9,21.1,2.7,0.3,336
経営者年齢別,50歳代,57.9,31.6,10.2,0.3,630
経営者年齢別,60歳代,50.5,32,16.4,1.1,622
経営者年齢別,70歳以上,47.1,22.9,29,1,916
