,,計画を上回る(%)         ,ほぼ計画通り(%) ,計画を下回る(%) ,販売していない(%) ,無回答(%)             ,n(件) 
,今回調査（全体）,7.4,37.9,28.5,4.5,21.8,639
業種別,食品・飲料,8.3,27.1,35.4,12.5,16.7,48
業種別,衣料・身の回り品,3.3,40,28.3,0,28.3,60
業種別,住宅・建物,0,34.8,47.8,0,17.4,23
業種別,紙・印刷,7.4,42.6,25.9,3.7,20.4,54
業種別,材料・部品[非金属] ,5.5,37.4,29.7,5.5,22,91
業種別,材料・部品[金属] ,8.6,43.2,17.3,4.9,25.9,81
業種別,一般・精密機械,6.9,34.7,31.3,3.5,23.6,144
業種別,電機・電子,9.9,43.2,27.2,6.2,13.6,81
業種別,その他,10.9,36.4,25.5,3.6,23.6,55
従業者規模別,1～3人,9.4,33.8,24.4,4.4,28.1,160
従業者規模別,4～9人,6.6,36.8,28,5.5,23.1,182
従業者規模別,10～20人,8.9,39.3,27.7,3.6,20.5,112
従業者規模別,21～50人,6.1,40.4,33.3,2,18.2,99
従業者規模別,51～99人,4.7,37.2,34.9,7,16.3,43
従業者規模別,100人以上,0,54.8,32.3,3.2,9.7,31
