,,品質が改善した(%),製造工程が改善した(%),職場環境が改善した(%),知識が共有された(%),従業員の意欲が向上した(%),コミュニケーションが活性化した(%),新たなアイデアが創出できた(%),顧客からの評価が向上した(%),現時点では評価できない(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,49.3,51.5,31,36.2,25.2,22.4,16.2,15.1,8.6,0.5,3.3,0.1,1166
,前回調査,49.2,45.5,32.8,34.7,29.6,22.2,12.6,18.2,6.8,0.9,2.1,0.9,1030
業種別,食品・飲料,50,56.5,41.3,32.6,30.4,32.6,8.7,13,8.7,0,2.2,0,46
業種別,衣料・身の回り品,44.6,51.4,20.3,31.1,16.2,17.6,18.9,14.9,9.5,0,2.7,0,74
業種別,住宅・建物,36.2,42.6,21.3,17,17,10.6,8.5,10.6,10.6,0,2.1,0,47
業種別,紙・印刷,49.8,46.5,29.6,41.8,21.1,20.2,11.7,19.2,6.1,0.5,3.8,0,213
業種別,材料・部品[非金属] ,49.6,54.7,31.7,36.7,23.7,20.9,13.7,10.1,7.9,2.2,3.6,0,139
業種別,材料・部品[金属] ,48.7,51.3,28.5,31.6,28.1,20.2,15.8,17.1,11.8,0,4.4,0,228
業種別,一般・精密機械,50,55.7,36,41.2,29.4,27.2,18.9,18.4,8.3,0.9,3.1,0.4,228
業種別,電機・電子,57.1,58.9,37.5,36.6,30.4,29.5,19.6,9.8,8,0,2.7,0,112
業種別,その他,47.1,40,25.7,35.7,24.3,21.4,31.4,10,7.1,0,0,0,70
従業者規模別,1～3人,48.6,44.5,13.4,27.1,10.1,8.5,16.2,18.6,6.9,0.8,6.9,0,247
従業者規模別,4～9人,40,44.3,20.8,34.1,20,20.8,17.3,13.8,10.3,0.5,2.4,0,370
従業者規模別,10～20人,54.4,56.2,41.5,40.1,30,24.9,13.4,15.2,8.3,0.5,2.3,0.5,217
従業者規模別,21～50人,53.3,59.2,46.2,40.8,39.7,36.4,13.6,14.1,8.2,0.5,2.7,0,184
従業者規模別,51～99人,59.2,64.8,52.1,49.3,38,26.8,18.3,14.1,8.5,0,1.4,0,71
従業者規模別,100人以上,63,61.1,53.7,40.7,42.6,31.5,25.9,11.1,7.4,0,1.9,0,54
売上高増減別(感染症発生前後),増加,57.1,63.9,40.3,38.7,35.3,31.1,23.5,18.5,7.6,0.8,2.5,0.8,119
売上高増減別(感染症発生前後),横ばい,50,53.1,28.3,39.4,22.1,20.8,18.6,16.8,9.3,0,1.3,0,226
売上高増減別(感染症発生前後),減少,48.1,49.6,30.1,35.1,24.2,21.8,14.6,14.2,8.5,0.6,3.9,0,803
