,,1年未満(%),1年以上～3年未満(%),3年以上～5年未満(%),5年以上～10年未満(%),10年以上(%),無回答(%),n(件)
,今回調査（全体）,31.9,39.7,9.1,6.6,9.8,2.8,317
業種別,食品・飲料,50,33.3,5.6,5.6,0,5.6,18
業種別,衣料・身の回り品,46.9,18.8,12.5,9.4,9.4,3.1,32
業種別,住宅・建物,0,55.6,11.1,0,22.2,11.1,9
業種別,紙・印刷,37.5,25,16.7,16.7,4.2,0,24
業種別,材料・部品[非金属] ,30.6,30.6,5.6,8.3,22.2,2.8,36
業種別,材料・部品[金属] ,21.1,44.7,13.2,10.5,7.9,2.6,38
業種別,一般・精密機械,23.2,54.9,8.5,4.9,6.1,2.4,82
業種別,電機・電子,38,42,6,2,10,2,50
業種別,その他,42.3,30.8,7.7,3.8,15.4,0,26
従業者規模別,1～3人,21.3,37.7,16.4,6.6,14.8,3.3,61
従業者規模別,4～9人,31.1,34.4,11.1,5.6,12.2,5.6,90
従業者規模別,10～20人,40,43.6,3.6,3.6,5.5,3.6,55
従業者規模別,21～50人,33.3,42.6,9.3,9.3,5.6,0,54
従業者規模別,51～99人,26.7,50,3.3,10,10,0,30
従業者規模別,100人以上,42.9,33.3,4.8,9.5,9.5,0,21
売上高増減別(感染症発生前後),増加,18.2,59.1,9.1,11.4,2.3,0,44
売上高増減別(感染症発生前後),横ばい,33.9,32.3,11.3,6.5,12.9,3.2,62
売上高増減別(感染症発生前後),減少,34.1,38,8.8,5.9,10.2,2.9,205
