,,技術の模倣を防止できる(%),資金調達がしやすい(%),技術力をアピールできる(%)     ,自社の事業活動への参入障壁を作ることができる(%),ライセンス収入を得られる(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,54.3,2,40.9,25,5.6,4,16.4,0.5,396
業種別,食品・飲料,57.1,4.8,33.3,19,9.5,14.3,14.3,0,21
業種別,衣料・身の回り品,46.7,0,33.3,23.3,10,10,30,0,30
業種別,住宅・建物,57.1,14.3,14.3,42.9,0,14.3,14.3,0,7
業種別,紙・印刷,43.9,0,43.9,24.4,0,4.9,22,4.9,41
業種別,材料・部品[非金属] ,47.6,0,41.3,22.2,4.8,3.2,20.6,0,63
業種別,材料・部品[金属] ,60,2,36,24,2,4,14,0,50
業種別,一般・精密機械,60.8,3.1,46.4,35.1,8.2,1,9.3,0,97
業種別,電機・電子,66,1.9,52.8,15.1,5.7,0,13.2,0,53
業種別,その他,32.3,0,25.8,19.4,6.5,6.5,22.6,0,31
従業者規模別,1～3人,36.4,1.5,24.2,18.2,3,4.5,31.8,1.5,66
従業者規模別,4～9人,55.6,1.1,37.8,20,5.6,7.8,18.9,0,90
従業者規模別,10～20人,50.7,4,40,40,8,4,13.3,0,75
従業者規模別,21～50人,61.4,2.4,48.2,20.5,6,2.4,8.4,1.2,83
従業者規模別,51～99人,57.1,0,57.1,26.2,4.8,0,14.3,0,42
従業者規模別,100人以上,67.6,0,47.1,29.4,2.9,0,11.8,0,34
創業時期別,1950年以前,58.3,1.2,46.4,31,7.1,4.8,9.5,0,84
創業時期別,1951～1960年,46.8,2.1,44.7,14.9,2.1,2.1,23.4,2.1,47
創業時期別,1961～1970年,44.9,2.9,34.8,20.3,5.8,5.8,24.6,1.4,69
創業時期別,1971～1980年,57.6,1.7,39,27.1,5.1,0,20.3,0,59
創業時期別,1981～1990年,57.9,2.6,34.2,18.4,2.6,5.3,13.2,0,38
創業時期別,1991～2000年,56.7,0,43.3,30,3.3,3.3,13.3,0,30
創業時期別,2001～2010年,60.6,3,45.5,21.2,12.1,6.1,15.2,0,33
創業時期別,2011年以降,65.4,3.8,42.3,38.5,7.7,3.8,3.8,0,26
経営者年齢別,50歳未満,51.5,2.9,33.8,25,7.4,5.9,16.2,0,68
経営者年齢別,50歳代,50.8,1.7,38.1,30.5,5.9,6.8,16.9,0.8,118
経営者年齢別,60歳代,57.5,1.8,45.1,19.5,4.4,3.5,15.9,0,113
経営者年齢別,70歳以上,57.4,2.1,43.6,24.5,5.3,0,17,1.1,94
