,,時間がとれない(%) ,育成コストが負担(%) ,育成方法がわからない(%) ,技術が陳腐化する(%) ,人材が定着しない(%) ,対象人材に意欲がない(%) ,教える側の人材・ノウハウ不足(%) ,その他(%) ,特になし(%) ,対象人材がいない・必要なし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,27.8,17.9,7.7,4.4,13.5,12.9,25.1,1.3,26.1,10.1,3.8,1398
,前回調査,27.8,15.8,6.9,3.5,14,12.4,23,1.1,22.3,15.4,3.8,1327
業種別,食品・飲料,28.1,15.8,3.5,3.5,12.3,12.3,24.6,0,28.1,7,3.5,57
業種別,衣料・身の回り品,23.9,27.2,5.4,1.1,13,9.8,17.4,1.1,22.8,12,8.7,92
業種別,住宅・建物,24.4,22.2,6.7,6.7,13.3,4.4,22.2,2.2,24.4,8.9,6.7,45
業種別,紙・印刷,21.9,18.3,10,5,12.3,14.3,22.6,1.3,28.2,10.6,4.7,301
業種別,材料・部品[非金属] ,24.1,9.4,5.3,2.4,10,10,22.4,2.4,35.9,7.6,1.8,170
業種別,材料・部品[金属] ,30.1,15,7.9,5.3,12.4,13.9,24.4,1.5,27.4,12,3,266
業種別,一般・精密機械,37.1,20.6,8.6,5.2,16.1,15.7,32.6,0,21.7,8.2,3,267
業種別,電機・電子,31.5,14.5,8.9,4,13.7,9.7,33.1,0.8,20.2,12.9,4,124
業種別,その他,19.4,29.9,4.5,3,25.4,16.4,14.9,4.5,17.9,10.4,3,67
従業者規模別,1～3人,23,17.6,4.8,3.2,3.7,9.6,4.8,1.1,40.1,13.9,4.3,187
従業者規模別,4～9人,24.2,18.4,4.7,4.7,14.2,11.8,13.8,1.1,29.5,13.6,5.1,550
従業者規模別,10～20人,33.7,19.9,11.7,5.5,14.4,17.2,33,0.7,19.9,6.9,2.7,291
従業者規模別,21～50人,31.8,16.4,8.9,3.3,15.4,12.6,43.5,1.4,18.2,5.1,2.8,214
従業者規模別,51～99人,26,13,15.6,2.6,20.8,10.4,49.4,3.9,22.1,6.5,2.6,77
従業者規模別,100人以上,35.7,16.1,3.6,5.4,21.4,10.7,53.6,1.8,21.4,5.4,0,56
創業時期別,1950年以前,30.7,22.8,9.6,5.7,16.7,14,34.2,1.8,21.9,5.7,3.1,228
創業時期別,1951～1960年,32.7,16.6,9.8,7.8,11.2,14.1,25.9,2,23.4,10.7,4.9,205
創業時期別,1961～1970年,25.8,13.7,7.4,5.9,14.5,11.7,25.8,0.8,27.3,11.7,2.7,256
創業時期別,1971～1980年,23.4,15.3,8.6,3.2,12.2,14.9,23.9,2.3,29.3,9,4.5,222
創業時期別,1981～1990年,22.1,18,4.1,3.5,13.4,12.8,19.8,0.6,29.7,11,2.9,172
創業時期別,1991～2000年,32.4,18.5,6.5,0.9,13.9,9.3,22.2,0,26.9,9.3,5.6,108
創業時期別,2001～2010年,21.7,23.9,7.6,2.2,10.9,10.9,20.7,0,28.3,17.4,2.2,92
創業時期別,2011年以降,42.6,19.7,4.9,0,16.4,13.1,23,0,18,9.8,1.6,61
経営者年齢別,50歳未満,33.5,18.4,9.2,4.2,17.2,12.6,28.5,2.9,21.8,6.3,2.1,239
経営者年齢別,50歳代,28.6,18.6,9.8,4.6,16.9,16.1,29.8,1.5,22.7,10.3,1.7,409
経営者年齢別,60歳代,26.4,19.3,6.1,5,12.4,12.1,24.8,0.8,28.1,10.5,3.6,363
経営者年齢別,70歳以上,24.2,15.7,6.1,3.7,8.8,10.6,17,0.5,31.1,12,7.4,376
