,,増加,増加,増加,,減少,減少,減少,,
,,増加（50％以上）(%) ,増加（20％以上）(%) ,増加（20％未満）(%) ,横ばい（±5％未満）(%) ,減少（20％未満）(%) ,減少（20％以上）(%) ,減少（50％以上）(%) ,無回答(%) ,n(件) 
,今回調査（全体）,2.9,2.9,5.7,21.8,23.2,22.9,16.4,4.2,2527
業種別,食品・飲料,3.8,1.3,8.9,20.3,20.3,29.1,15.2,1.3,79
業種別,衣料・身の回り品,2.2,3.1,4,20.4,18.6,20.4,25.2,6.2,226
業種別,住宅・建物,0.8,5.7,2.5,14.8,28.7,28.7,14.8,4.1,122
業種別,紙・印刷,2.4,1,3,21.7,27.5,24.7,15.3,4.4,502
業種別,材料・部品[非金属] ,1.5,5.4,6.9,27.3,23.1,18.5,13.1,4.2,260
業種別,材料・部品[金属] ,2,2,5.7,22.1,24.5,25.5,14.4,3.7,542
業種別,一般・精密機械,4.2,2.8,8,22.1,21.2,20.5,17.2,4,425
業種別,電機・電子,4.3,3.7,10.2,28.3,18.2,18.7,12.8,3.7,187
業種別,その他,7.1,5.3,4.1,13.5,20,24.1,21.2,4.7,170
従業者規模別,1～3人,1.9,1.9,3.6,22.3,22.4,23.8,19.8,4.2,1155
従業者規模別,4～9人,3.6,2.7,5.8,20.3,24.6,24.9,13.5,4.7,675
従業者規模別,10～20人,2.4,3.1,7.2,24,23.6,22.3,12.7,4.8,292
従業者規模別,21～50人,5.1,5.1,13,20.4,23.1,18.5,12.5,2.3,216
従業者規模別,51～99人,5.2,5.2,10.4,27.3,18.2,16.9,13,3.9,77
従業者規模別,100人以上,5.4,12.5,7.1,25,28.6,8.9,12.5,0,56
地域別,都心,6.9,5.2,6.9,27.2,20.8,15.6,14.5,2.9,173
地域別,副都心,3.6,1.8,7.1,23.8,20.8,21.4,16.1,5.4,168
地域別,城東都心近接,2.1,2.4,3.6,16.5,25.1,25.8,19.6,5,419
地域別,城東周辺,2.9,2.6,4.6,23,25.5,22.1,15,4.2,612
地域別,城西,2.6,2.6,6.5,18.1,16.8,23.9,23.2,6.5,155
地域別,城南,2.9,1.8,6,23.8,24,23.8,14.1,3.7,383
地域別,城北,2.8,1.7,5.7,22.2,19.9,27.8,13.6,6.3,176
地域別,多摩,2,4.8,7.7,22,22.9,21.8,16.8,2,441
