,,計画を上回る(%),ほぼ計画通り(%),計画を下回る(%),販売していない(%),無回答(%),n(件)
,今回調査（全体）,8.5,61.6,14.1,1.1,14.7,177
業種別,食品・飲料,0,85.7,14.3,0,0,7
業種別,衣料・身の回り品,11.8,52.9,11.8,0,23.5,17
業種別,住宅・建物,0,40,20,0,40,5
業種別,紙・印刷,0,60,20,0,20,5
業種別,材料・部品[非金属] ,10,60,5,5,20,20
業種別,材料・部品[金属] ,9.1,54.5,13.6,0,22.7,22
業種別,一般・精密機械,7.8,62.7,13.7,2,13.7,51
業種別,電機・電子,5.4,73,16.2,0,5.4,37
業種別,その他,16.7,50,25,0,8.3,12
従業者規模別,1～3人,8.1,51.4,13.5,2.7,24.3,37
従業者規模別,4～9人,9.3,57.4,11.1,0,22.2,54
従業者規模別,10～20人,13.8,58.6,13.8,3.4,10.3,29
従業者規模別,21～50人,4,76,16,0,4,25
従業者規模別,51～99人,7.1,64.3,21.4,0,7.1,14
従業者規模別,100人以上,7.7,69.2,23.1,0,0,13
