,,生産設備の導入・更新(%),技能者のスキル向上(%),技能者の多能工化(%),作業工程の見直し・自動化 (%)         ,原材料の見直し(%),生産方式の見直し(%),事務作業の見直し(%),情報化(ICTの利活用等)(%),職場環境整備(5S活動)(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,21.8,27,17.7,20.8,11.1,12.2,11,5.4,10,0.4,41,2.1,2527
業種別,食品・飲料,36.7,22.8,16.5,22.8,20.3,16.5,17.7,6.3,13.9,0,25.3,0,79
業種別,衣料・身の回り品,13.3,20.8,8.8,9.7,10.2,10.2,6.6,1.3,3.1,0.9,52.2,3.5,226
業種別,住宅・建物,12.3,24.6,13.9,12.3,12.3,9,5.7,2.5,4.9,0,50,1.6,122
業種別,紙・印刷,24.9,23.5,15.5,18.3,8.6,10.4,12.5,6.4,7,0,43.2,1,502
業種別,材料・部品[非金属] ,24.2,29.2,16.5,26.2,12.3,12.7,12.7,6.9,13.8,1.5,36.5,2.3,260
業種別,材料・部品[金属] ,19.6,25.1,16.6,21.2,9,10,8.5,3.7,10,0.2,45.6,2.8,542
業種別,一般・精密機械,24.2,36.7,26.6,28.5,11.3,17.6,12.9,6.8,13.4,0.5,31.3,0.9,425
業種別,電機・電子,22.5,28.3,24.6,26.2,16,16.6,11.8,10.2,19.3,0,34.8,3.2,187
業種別,その他,19.4,26.5,15.3,14.1,13.5,10,14.1,2.9,5.9,0,44.1,3.5,170
従業者規模別,1～3人,8.3,14.2,5,10,6.1,6.6,5.5,1.5,2.5,0.3,62.1,2.6,1155
従業者規模別,4～9人,20.7,27.9,18.4,20.1,13.5,13.5,12,3.4,6.4,0.6,33.6,2.2,675
従業者規模別,10～20人,38,47.6,31.8,34.9,17.1,17.5,19.5,11.6,21.2,0.3,16.1,1.4,292
従業者規模別,21～50人,47.7,48.6,44.9,40.3,17.6,23.6,19.9,14.8,24.5,0,7.4,0.5,216
従業者規模別,51～99人,68.8,54.5,49.4,46.8,14.3,16.9,24.7,19.5,35.1,0,5.2,0,77
従業者規模別,100人以上,62.5,55.4,51.8,58.9,16.1,25,14.3,19.6,51.8,0,1.8,0,56
売上高増減別(感染症発生前後),増加,36.3,35.8,30.2,39.1,20.7,19,23.5,10.6,17.3,1.1,22.3,0,179
売上高増減別(感染症発生前後),横ばい,22.6,29.9,18.2,23.1,10.5,11,11.9,6.4,10.8,0,37.8,2.2,455
売上高増減別(感染症発生前後),減少,20.2,25.6,16.4,18.7,10.4,11.9,9.7,4.6,9,0.4,43.6,2.2,1852
