,,取引先(顧客)との近接性(%) ,取引先(顧客)との信頼関係(%) ,企画・提案力(%) ,営業力(%) ,試作開発力(%) ,研究開発力(%) ,製品開発力(%) ,充実した生産設備(%) ,高品質(%) ,短納期(%) ,低価格(%) ,多品種小ロット対応(%) ,量産能力(%) ,加工技術(%) ,独自技術(%) ,自社製品(%) ,自社ブランド(%) ,サービス(カスタマイズ・アフターサービス等)の提供(%) ,その他(%) ,特になし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,29.5,66.9,12.9,10.2,9.9,4.8,11.5,5.9,28.5,33.2,17.9,26,7.5,35.8,14.2,15,8.8,7.1,0.9,4.7,0.3,2527
業種別,食品・飲料,31.6,58.2,17.7,13.9,19,6.3,17.7,6.3,35.4,19,16.5,20.3,6.3,11.4,13.9,38,27.8,2.5,0,3.8,0,79
業種別,衣料・身の回り品,23.5,65.5,17.7,9.7,10.2,4.4,14.6,4.9,27,22.6,9.3,28.3,8.8,37.2,13.3,12.4,9.7,6.6,1.3,7.5,0.4,226
業種別,住宅・建物,25.4,66.4,11.5,8.2,5.7,1.6,9,1.6,23.8,24.6,13.1,11.5,5.7,37.7,10.7,15.6,5.7,7.4,0.8,4.9,1.6,122
業種別,紙・印刷,39,72.7,10.2,15.9,4,1.4,2,6.4,26.3,42.8,20.9,29.3,5.6,25.9,7.2,5.4,1.8,5.8,0,5,0.4,502
業種別,材料・部品[非金属] ,23.1,64.6,12.3,9.6,10.4,8.5,13.5,7.3,33.5,33.1,15.8,30.4,10,36.9,16.2,21.9,11.9,5.8,0.8,5,0,260
業種別,材料・部品[金属] ,28.8,66.6,7.7,5.4,8.7,2.6,6.5,5,25.6,37.3,22.5,27.1,8.9,47.4,12.5,10.7,4.8,3.1,0.2,3.7,0.4,542
業種別,一般・精密機械,29.4,67.8,16,11.5,14.4,6.4,18.8,9.6,31.3,31.8,16.2,24.2,7.1,40.2,20.9,17.4,10.8,12.9,1.6,3.8,0.2,425
業種別,電機・電子,25.7,67.4,14.4,9.1,16.6,13.4,23,3.7,30.5,28.9,19.3,28.3,7.5,23.5,23.5,23.5,17.6,12.3,1.6,3.2,0,187
業種別,その他,27.6,58.2,21.8,7.6,9.4,4.7,15.9,2.4,28.8,27.1,15.9,17.6,5.3,37.1,14.7,24.1,14.7,8.8,2.9,7.1,0,170
従業者規模別,1～3人,25.8,62.3,7.5,4.2,7.1,2.6,7.2,2,18.9,29.4,20.9,21.8,3.1,33.3,11,9.4,5.4,4,0.9,6.9,0.4,1155
従業者規模別,4～9人,31.6,67,13.9,9.6,9.3,4.1,13.3,4.6,28.3,36.6,16.9,26.2,7.3,39.4,13.6,16.9,7.4,8.6,0.7,3.4,0.4,675
従業者規模別,10～20人,34.9,76.4,18.2,20.2,15.4,9.9,18.2,13,39.4,43.5,14.7,32.2,12,36,16.8,23.3,15.8,8.2,1,2.1,0,292
従業者規模別,21～50人,37.5,73.6,22.7,18.5,13,9.3,15.7,12.5,51.9,33.3,11.1,33.8,15.3,42.6,24.5,19.4,13.9,11.6,1.4,0.9,0,216
従業者規模別,51～99人,31.2,76.6,24.7,33.8,18.2,9.1,20.8,16.9,54.5,33.8,14.3,42.9,26,33.8,27.3,26,19.5,18.2,1.3,2.6,0,77
従業者規模別,100人以上,17.9,67.9,32.1,21.4,21.4,7.1,19.6,23.2,42.9,25,14.3,28.6,25,23.2,21.4,28.6,25,17.9,0,0,0,56
地域別,都心,35.3,71.7,23.7,16.8,8.1,8.7,15,8.1,34.1,27.7,15,24.3,7.5,20.2,20.2,26,19.7,16.2,0.6,1.7,0,173
地域別,副都心,37.5,66.7,14.9,14.3,4.8,3.6,10.7,6,36.9,33.3,16.7,22,7.1,28,15.5,16.7,16.1,6,1.2,4.2,0,168
地域別,城東都心近接,30.1,66.6,12.9,9.3,10.5,4.1,9.3,5.5,25.8,32.2,17.4,26.7,6.7,37.7,14.3,14.3,7.2,6.7,0,5,0.2,419
地域別,城東周辺,24.2,65.7,10.3,9.5,6.4,3.9,9,4.2,22.7,30.2,20.1,24.5,6.7,39.7,11.1,10.6,4.4,4.7,1.3,7,0.7,612
地域別,城西,28.4,66.5,20,9,12.3,4.5,11.6,3.2,28.4,28.4,16.1,24.5,3.2,32.3,16.8,26.5,13.5,9.7,0.6,3.2,0,155
地域別,城南,32.1,67.6,11,8.6,11.7,5.5,11.7,6.8,31.6,37.3,17.2,29.8,9.7,42.6,14.1,13.6,7.3,6.8,1,3.7,0.8,383
地域別,城北,29.5,68.2,9.7,10.8,9.1,2.8,8,5.7,31.8,42,19.3,26.7,9.1,35.8,9.7,13.1,8,6.3,1.1,2.8,0,176
地域別,多摩,29.3,66,12.2,9.5,14.7,5.9,17,7.9,29.9,35.1,17.5,26.3,8.6,33.1,16.8,14.7,9.3,7.5,0.9,4.5,0,441
創業時期別,1950年以前,28.6,73.9,16.5,14.6,10.2,4.3,11.2,9.6,37.9,30.4,16.1,34.5,9.6,37,18.9,26.1,15.8,9,1.6,3.1,0,322
創業時期別,1951～1960年,35.4,68.4,10.1,10.1,10.7,5.2,9.3,7,32.8,30.7,15.9,29.9,8.7,40.3,16.2,14.5,9,4.9,0.6,3.5,0.3,345
創業時期別,1961～1970年,28.3,65.6,8.5,7.6,10,3.7,10.2,6.5,26.4,39.9,18.7,29.4,8.5,36.8,11.1,12.4,6.8,8.3,0.2,6.8,0,459
創業時期別,1971～1980年,28.2,70.3,12.9,9.4,8.7,4.7,8.9,3.5,25,37.6,18.3,23.5,7.9,36.9,14.4,14.1,4.7,6.7,1.2,3.5,0.7,404
創業時期別,1981～1990年,26.9,65.4,12.4,8,8,3.6,12.1,5.3,29.9,32.8,20.4,24,7.7,37.6,12.7,12.7,6.5,7.7,0.6,4.4,0.3,338
創業時期別,1991～2000年,32.1,65.2,17.6,9.5,9.5,5.4,17.2,5,27.1,32.6,20.8,16.3,4.5,34.8,13.6,10.9,9.5,4.5,1.4,4.1,0.5,221
創業時期別,2001～2010年,32.4,63.5,20.6,14.1,14.1,7.6,19.4,4.1,25.3,26.5,15.9,25.9,4.1,31.2,15.3,15.3,9.4,4.1,1.2,2.9,0,170
創業時期別,2011年以降,32.2,63.5,15.7,18.3,12.2,7.8,19.1,3.5,24.3,24.3,20,20.9,7.8,18.3,17.4,20.9,19.1,16.5,1.7,4.3,0.9,115
売上高経常利益別,黒字(プラス),30.6,69.5,15.2,12.2,11,5.4,13.5,7.1,32,33.8,18.1,27,8.9,35.3,16.2,17.5,10.6,8.6,0.9,3.3,0.2,1260
