,,事業承継予定,事業承継予定,事業承継予定,事業承継予定,事業承継予定,事業承継予定,,,,,,
,,子・子の配偶者に継がせたい(%) ,配偶者に継がせたい(%) ,子・子の配偶者及び配偶者以外の親族に継がせたい(%) ,従業員に継がせたい(%) ,外部の人間に継がせたい(%) ,誰でもよいから継がせたい(%) ,親会社が決定する(%) ,他社に売却したい(%) ,まだ決めていない(%) ,その他(%) ,無回答(%) ,n(件) 
,今回調査（全体）,28.8,1.5,3.9,9.4,1.2,5.3,2.9,1,40,1.8,4.3,2063
業種別,食品・飲料,40.6,4.3,4.3,5.8,0,4.3,10.1,0,23.2,1.4,5.8,69
業種別,衣料・身の回り品,26.9,2.4,3,6.6,0.6,4.8,1.8,2.4,44.9,1.8,4.8,167
業種別,住宅・建物,30.9,1.1,2.1,4.3,2.1,4.3,1.1,0,45.7,4.3,4.3,94
業種別,紙・印刷,22.9,1.7,4.2,10.6,1.7,5.9,3.4,2.2,40.5,1.7,5.2,407
業種別,材料・部品[非金属] ,33.5,1.3,4.8,8.8,1.3,3.1,5.3,0.4,36.6,0.9,4,227
業種別,材料・部品[金属] ,32.9,1.6,4,5.1,1.2,3.5,1.4,0.7,44.6,1.2,3.7,428
業種別,一般・精密機械,23.9,0.9,5.1,14.5,0.9,7.4,3.4,0.9,38.5,2.3,2.3,351
業種別,電機・電子,30.3,0.6,3,16.4,1.8,7.3,2.4,0,33.9,1.2,3,165
業種別,その他,30.3,1.4,2.1,6.9,0,6.2,0,0.7,39.3,3.4,9.7,145
従業者規模別,1～3人,21.5,1.9,1.8,3.5,1.3,4.6,0.5,0.8,54.4,3.3,6.3,777
従業者規模別,4～9人,33.8,2.3,4.1,10.4,1.3,6.2,0.5,0.8,36.6,1.1,2.9,615
従業者規模別,10～20人,34.3,0,3.9,15.2,1.1,5.7,4.2,2.1,30,0,3.5,283
従業者規模別,21～50人,33.2,0.9,6.5,21,0.5,5.6,8.4,0.9,19.6,0.9,2.3,214
従業者規模別,51～99人,31.2,0,9.1,9.1,2.6,0,16.9,1.3,26,2.6,1.3,77
従業者規模別,100人以上,21.8,0,12.7,12.7,0,9.1,16.4,0,25.5,0,1.8,55
経営者年齢別,50歳未満,23.9,0.9,2.8,5.2,0.6,7.4,2.8,1.2,50,1.5,3.7,326
経営者年齢別,50歳代,15.6,0.9,3.9,9.6,1.6,5.5,3.2,1.2,52.3,1.1,5.1,564
経営者年齢別,60歳代,25.3,1.6,4.5,12.7,0.8,5.1,4.9,1.4,37,2.1,4.7,513
経営者年齢別,70歳以上,45.1,2.2,4.2,8.9,1.4,4.4,0.9,0.5,26.5,2.3,3.6,641
