区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／比（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／比（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／比（％）
15歳以上人口,10946,10875,71,0.7,5412,5382,30,0.6,5534,5493,41,0.7
〔就業状態〕／労働力人口,6772,6714,58,0.9,4031,4022,9,0.2,2741,2692,49,1.8
〔就業状態〕／労働力人口／就業者数,6453,6379,74,1.2,3840,3820,20,0.5,2613,2559,54,2.1
〔就業状態〕／労働力人口／就業者数／自営業主数,611,590,21,3.6,444,445,-1,-0.2,168,145,23,15.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,158,171,-13,-7.6,33,28,5,17.9,125,143,-18,-12.6
〔就業状態〕／労働力人口／就業者数／雇用者数,5647,5590,57,1,3342,3330,12,0.4,2306,2260,46,2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,4819,4777,42,0.9,3034,3028,6,0.2,1785,1749,36,2.1
〔就業状態〕／労働力人口／完全失業者数,320,335,-15,-4.5,191,202,-11,-5.4,129,133,-4,-3
〔就業状態〕／非労働力人口,4162,4151,11,0.3,1375,1355,20,1.5,2787,2797,-10,-0.4
〔就業者の活動状態別内訳〕／就業者数（再掲）,6453,6379,74,1.2,3840,3820,20,0.5,2613,2559,54,2.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6333,6265,68,0,3777,3761,16,0.4,2556,2505,51,2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5410,5405,5,0.1,3626,3632,-6,-0.2,1784,1773,11,0.6
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,737,689,48,7,50,36,14,38.9,687,653,34,5.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,186,172,14,8.1,101,93,8,8.6,85,78,7,9
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,120,114,6,5.3,63,59,4,6.8,57,55,2,3.6
〔就業者の主な産業別内訳〕／建設業,469,491,-22,-4.5,403,404,-1,-0.2,66,88,-22,-25
〔就業者の主な産業別内訳〕／製造業,837,809,28,3.5,592,578,14,2.4,245,232,13,5.6
〔就業者の主な産業別内訳〕／情報通信業,457,459,-2,-0.4,328,337,-9,-2.7,128,121,7,5.8
〔就業者の主な産業別内訳〕／運輸業,299,289,10,3.5,247,240,7,2.9,52,49,3,6.1
〔就業者の主な産業別内訳〕／卸売・小売業,1143,1183,-40,-3.4,601,634,-33,-5.2,542,548,-6,-1.1
〔就業者の主な産業別内訳〕／金融・保険業,228,241,-13,-5.4,119,122,-3,-2.5,109,119,-10,-8.4
〔就業者の主な産業別内訳〕／不動産業,159,132,27,20.5,100,80,20,25,59,52,7,13.5
〔就業者の主な産業別内訳〕／飲食店，宿泊業,429,412,17,4.1,209,190,19,10,220,222,-2,-0.9
〔就業者の主な産業別内訳〕／医療，福祉,522,464,58,12.5,131,118,13,11,392,346,46,13.3
〔就業者の主な産業別内訳〕／教育，学習支援業,292,290,2,0.7,134,140,-6,-4.3,158,150,8,5.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1223,1189,34,2.9,697,674,23,3.4,525,515,10,1.9
〔雇用者の主な産業別内訳〕／建設業,385,411,-26,-6.3,328,333,-5,-1.5,58,78,-20,-25.6
〔雇用者の主な産業別内訳〕／製造業,767,742,25,3.4,547,534,13,2.4,219,208,11,5.3
〔雇用者の主な産業別内訳〕／情報通信業,435,443,-8,-1.8,313,326,-13,-4,121,117,4,3.4
〔雇用者の主な産業別内訳〕／運輸業,267,251,16,6.4,217,204,13,6.4,49,48,1,2.1
〔雇用者の主な産業別内訳〕／卸売・小売業,1034,1062,-28,-2.6,540,570,-30,-5.3,494,492,2,0.4
〔雇用者の主な産業別内訳〕／金融・保険業,220,230,-10,-4.3,113,115,-2,-1.7,107,116,-9,-7.8
〔雇用者の主な産業別内訳〕／不動産業,140,113,27,23.9,90,69,21,30.4,49,45,4,8.9
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,343,324,19,5.9,170,151,19,12.6,173,173,0,0
〔雇用者の主な産業別内訳〕／医療，福祉,476,423,53,12.5,102,94,8,8.5,374,330,44,13.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,261,255,6,2.4,127,125,2,1.6,134,130,4,3.1
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,978,966,12,1.2,549,538,11,2,429,428,1,0.2
