区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年比／総数（％）,対前年比／15～24歳（％）,対前年比／25～34歳（％）,対前年比／35～44歳（％）,対前年比／45～54歳（％）,対前年比／55～64歳（％）,対前年比／65歳以上（％）
15歳以上人口／平成９年平均,1997,5176,846,967,719,897,788,961,…,…,…,…,…,…,…,-,-,-,-,-,-,-
15歳以上人口／平成10年平均,1998,5214,806,998,725,880,801,1003,38,-40,31,6,-17,13,42,0.7,-4.7,3.2,0.8,-1.9,1.6,4.4
15歳以上人口／平成11年平均,1999,5236,765,1019,737,857,817,1042,22,-41,21,12,-23,16,39,0.4,-5.1,2.1,1.7,-2.6,2,3.9
15歳以上人口／平成12年平均,2000,5267,733,1031,757,849,813,1083,31,-32,12,20,-8,-4,41,0.6,-4.2,1.2,2.7,-0.9,-0.5,3.9
15歳以上人口／平成13年平均,2001,5306,703,1055,771,848,797,1132,39,-30,24,14,-1,-16,49,0.7,-4.1,2.3,1.8,-0.1,-2,4.5
15歳以上人口／平成14年平均,2002,5408,748,1047,807,819,809,1178,102,45,-8,36,-29,12,46,1.9,6.4,-0.8,4.7,-3.4,1.5,4.1
15歳以上人口／平成15年平均,2003,5457,732,1045,841,781,836,1221,49,-16,-2,34,-38,27,43,0.9,-2.1,-0.2,4.2,-4.6,3.3,3.7
15歳以上人口／平成16年平均,2004,5493,713,1037,871,750,866,1257,36,-19,-8,30,-31,30,36,0.7,-2.6,-0.8,3.6,-4,3.6,2.9
15歳以上人口／平成17年平均,2005,5534,702,1029,902,727,878,1297,41,-11,-8,31,-23,12,40,0.7,-1.5,-0.8,3.6,-3.1,1.4,3.2
労働力人口／平成９年平均,1997,2609,410,647,440,583,399,132,…,…,…,…,…,…,…,-,-,-,-,-,-,-
労働力人口／平成10年平均,1998,2621,382,660,452,573,411,143,12,-28,13,12,-10,12,11,0.5,-6.8,2,2.7,-1.7,3,8.3
労働力人口／平成11年平均,1999,2598,343,685,440,561,423,146,-23,-39,25,-12,-12,12,3,-0.9,-10.2,3.8,-2.7,-2.1,2.9,2.1
労働力人口／平成12年平均,2000,2579,313,702,453,545,418,148,-19,-30,17,13,-16,-5,2,-0.7,-8.7,2.5,3,-2.9,-1.2,1.4
労働力人口／平成13年平均,2001,2588,295,713,477,542,405,156,9,-18,11,24,-3,-13,8,0.3,-5.8,1.6,5.3,-0.6,-3.1,5.4
労働力人口／平成14年平均,2002,2648,320,725,488,535,410,170,60,25,12,11,-7,5,14,2.3,8.5,1.7,2.3,-1.3,1.2,9
労働力人口／平成15年平均,2003,2665,310,718,493,528,434,181,17,-10,-7,5,-7,24,11,0.6,-3.1,-1,1,-1.3,5.9,6.5
